item_id,acf_24,acf_168,acf_6,acf_12,acf_48,acf_72,scale_mae,scale_rmse,mean_kl,scale_over_mean
BE_BLOCK_OHT,0.2636212081162578,0.18988516734668315,0.07242467553639896,-0.0761987673212382,0.245033251275457,0.22631453879842253,0.9483,1.5969,1.6739,0.567
BE_BLOCK_RO,,,,,,,0.0131,0.0611,0.0083,1.578
CRICKET_GROUND_OHT,0.22322555200255836,0.1189022715878059,0.17134645256732542,0.07888627734711108,0.1518747274363239,0.15512092400673705,0.0526,0.1226,0.0423,1.243
F_BLOCK,0.30987838427612524,0.34866847977586013,0.01879064543154127,-0.1799128068905326,0.2726502540866234,0.2764474131038546,0.5812,1.1992,0.6979,0.833
GJBC_BLOCK_1_A1_BOYS,0.19461050826956608,0.11773174078037933,0.0803782152402576,0.009968666525543747,0.17604128359039994,0.17075637155735954,0.1318,0.2128,0.1723,0.765
GJBC_BLOCK_1_A2_GIRLS,0.1883982967735309,0.16790880841260122,0.05123398874390906,0.005768929259437275,0.18601318044816517,0.19723292605959025,0.1348,0.2125,0.1758,0.767
GJBC_BLOCK_1_A3,0.17544337297196413,0.16309228246221355,0.06015921851272201,0.009781473798565976,0.17705946765250055,0.15975795945680202,0.1672,0.2723,0.2201,0.76
GJBC_BLOCK_1_A4_RO,0.3587239164773266,0.2877504478823411,0.09345865721036671,0.08351303788058383,0.3491039553466231,0.3241781011531489,0.0576,0.1946,0.0611,0.943
GJBC_BLOCK_2_A1,0.6477522612499281,0.6747976814327209,0.09801360737742212,-0.46378938811588294,0.5828778588929701,0.5719577066185202,0.2087,0.3545,0.3573,0.584
GJBC_LAW_BLOCK_3_A4_BOYS,0.2976340431075475,0.26434159911906663,0.029533835069081676,-0.13946081232070617,0.2751994401736707,0.29444661508099146,0.8336,1.5987,1.2215,0.682
GJBC_LAW_BLOCK_3__A1,0.12218742708417592,0.09706149812621864,0.045037071775580376,0.020399629708526257,0.10436923244174186,0.08160024069025822,0.2582,1.1404,0.3325,0.777
GJBC_LAW_BLOCK_3__A2,0.4518319341918048,0.45862903930397564,-0.022871254787335548,-0.03628449105033484,0.49896891537702803,0.4490858337167912,0.4203,1.8021,0.5662,0.742
GJBC_LAW_BLOCK_3__A3_GIRLS,0.3445420706655187,0.22740570612482583,0.16828014951982315,0.06402591349371256,0.2408701679272218,0.24136003254592436,0.2525,0.4473,0.4178,0.604
G_BLOCK,0.1734767298596739,0.09960026049587777,0.0003240691191589257,-0.009990759913422397,0.13884908754990813,0.140156898811192,0.5051,1.1393,1.0397,0.486
I&H_BLOCK,0.14104173764062466,0.08471374081861892,0.039902929836921106,0.006975582158689777,0.11572207024548788,0.08389953420138324,0.3805,1.0912,0.2788,1.365
INFORMATION_CENTRE,,,,,,,0.0094,0.061,0.0052,1.808
IT_BLOCK,0.30692094041529844,0.18823656874494837,0.054765576006872485,-0.028583702642549544,0.22768372252759533,0.19594060889870768,0.0592,0.1611,0.0567,1.044
ME_WORKSHOP_BLOCK,0.21092327415758969,0.049878267481581105,0.06453333951087128,0.02653554742878874,0.14007595797958847,0.13935823347813198,0.1591,0.7204,0.1211,1.314
MM_BLOCK,0.3096127822487058,0.20889161488826832,0.05737350701746296,-0.02382200776758827,0.2508501195690915,0.22644731010144958,0.4387,0.7695,1.1283,0.389
MRD_BLOCK,0.11505657114027482,0.14847169688856796,0.08233491766247836,-0.01915277579284456,0.14277112032771866,0.13670100400737092,1.1961,2.8324,1.3927,0.859
NBX,0.2698646427483913,0.213496829458158,0.016610430572407055,0.10717024464298192,0.23217090437010654,0.2275550649215866,0.4206,1.0162,0.6566,0.641
NEW_BLOCK,0.3731133018525618,0.30315262580552027,0.08915185295026827,0.04637833750739192,0.3324479789566999,0.3300570067951508,0.0684,0.1318,0.1241,0.551
NEW_BLOCK_RO,,,,,,,0.002,0.0325,0.0012,1.667
TECH_PARK,0.12528238323186452,0.13654288437593362,0.03313527570923211,-0.06707944208540102,0.09849037547297866,0.098580176974755,0.3412,0.984,0.44,0.775
