item_id,rows,missing_pct,zero_pct,mean_kl,resid_mae,resid_p99,rel_resid,breach_pct,carry_break_pct,observed,trust
BE_BLOCK_RO,11441,10.44,73.53,0.0083,0.0024,0.02,0.2841,0.17,0.16,10246,dead
INFORMATION_CENTRE,11448,4.02,91.87,0.0052,0.001,0.01,0.1863,0.06,0.06,10988,dead
NEW_BLOCK_RO,11440,0.35,96.34,0.0012,0.002,0.01,1.6337,0.02,0.01,11400,dead
I&H_BLOCK,11448,0.36,51.62,0.2788,0.032,0.4,0.1146,5.33,5.28,11407,degraded
GJBC_BLOCK_1_A1_BOYS,11448,1.91,14.61,0.1723,0.0193,0.21,0.112,2.61,2.66,11229,degraded
ME_WORKSHOP_BLOCK,11448,19.88,18.4,0.1211,0.0175,0.12,0.1447,0.94,0.83,9172,degraded
GJBC_BLOCK_1_A4_RO,11448,0.38,51.5,0.0611,0.0072,0.04,0.1179,0.55,0.53,11404,degraded
IT_BLOCK,11448,0.45,39.96,0.0567,0.0066,0.05,0.1157,0.36,0.34,11396,degraded
CRICKET_GROUND_OHT,7569,20.7,39.98,0.0423,0.0061,0.07,0.1437,0.55,0.45,6002,degraded
BE_BLOCK_OHT,11439,9.9,3.12,1.6739,0.1623,1.629,0.097,6.64,6.59,10306,healthy
MRD_BLOCK,11448,1.45,13.63,1.3927,0.1198,0.96,0.086,6.31,6.19,11282,healthy
GJBC_LAW_BLOCK_3_A4_BOYS,11448,0.45,5.42,1.2215,0.0827,0.9,0.0677,4.14,4.32,11396,healthy
MM_BLOCK,11448,0.63,3.9,1.1283,0.0651,0.35,0.0577,1.84,1.75,11376,healthy
G_BLOCK,11448,0.47,6.04,1.0397,0.0887,0.8307,0.0853,6.72,6.65,11394,healthy
F_BLOCK,11448,0.2,5.87,0.6979,0.0616,0.6352,0.0883,10.49,10.49,11425,healthy
NBX,11448,0.38,8.62,0.6566,0.0541,0.6596,0.0824,4.17,4.11,11405,healthy
GJBC_LAW_BLOCK_3__A2,11448,2.82,12.46,0.5662,0.0438,0.11,0.0774,0.66,0.62,11125,healthy
TECH_PARK,11448,0.76,11.22,0.44,0.0391,0.4,0.0889,8.09,8.06,11361,healthy
GJBC_LAW_BLOCK_3__A3_GIRLS,11448,0.71,7.68,0.4178,0.0289,0.22,0.0691,4.66,4.61,11367,healthy
GJBC_BLOCK_2_A1,11448,0.53,10.08,0.3573,0.0315,0.53,0.0883,3.78,3.64,11387,healthy
GJBC_LAW_BLOCK_3__A1,11448,0.49,13.84,0.3325,0.0233,0.11,0.07,1.13,1.12,11392,healthy
GJBC_BLOCK_1_A3,11448,0.62,14.45,0.2201,0.0145,0.09,0.0657,0.72,0.66,11377,healthy
GJBC_BLOCK_1_A2_GIRLS,11448,0.78,14.31,0.1758,0.0137,0.11,0.0781,1.23,1.31,11359,healthy
NEW_BLOCK,11448,0.47,13.98,0.1241,0.0092,0.05,0.0739,0.29,0.29,11394,healthy
