model,day,actual_kl,pred_raw_kl,pred_kl,lower_kl,upper_kl,n_scored,n_expected,coverage_pct,error_kl,abs_error_kl,error_raw_kl,inside_band,d_lo,d_hi,band_lo,band_hi,inside_daily_band
Chronos2-ZS,2026-03-09,295.22,240.70810735831037,264.0296504443496,85.14949225969531,511.40138962638287,576,576,100.0,-31.190349555650414,31.190349555650414,-54.511892641689656,True,-21.914552807581387,38.817982005248055,242.1150976367682,302.84763244959765,True
Chronos2-ZS,2026-03-10,311.78,267.8951964963926,295.4833653164634,118.82871472529165,503.913067627664,576,576,100.0,-16.29663468353658,16.29663468353658,-43.88480350360737,True,-21.914552807581387,38.817982005248055,273.568812508882,334.30134732171143,True
Chronos2-ZS,2026-03-11,271.15,274.6088089508994,303.0068572139196,127.42948867881223,504.0814881594635,576,576,100.0,31.856857213919625,31.856857213919625,3.4588089508994244,True,-21.914552807581387,38.817982005248055,281.0923044063382,341.82483921916764,False
Chronos2-ZS,2026-03-12,274.74,258.2306298709591,284.9080697195446,118.97084611802173,478.54565919470247,576,576,100.0,10.168069719544576,10.168069719544576,-16.509370129040917,True,-21.914552807581387,38.817982005248055,262.9935169119632,323.7260517247926,True
Chronos2-ZS,2026-03-13,274.22,261.66209588648053,288.20977756552634,117.49829875851727,479.7015542439976,576,576,100.0,13.98977756552631,13.98977756552631,-12.557904113519498,True,-21.914552807581387,38.817982005248055,266.29522475794494,327.0277595707744,True
Chronos2-ZS,2026-03-14,221.49,219.2964803946379,239.3162408078246,85.48807092365098,415.3826931509678,565,576,98.09027777777777,17.826240807824604,17.826240807824604,-2.1935196053620984,True,-21.914552807581387,38.817982005248055,217.4016880002432,278.13422281307265,True
Chronos2-ZS,2026-03-15,190.99,164.20828447747044,179.01883772687938,56.41255760287376,361.8541479694093,571,576,99.13194444444444,-11.971162273120626,11.971162273120626,-26.781715522529566,True,-21.914552807581387,38.817982005248055,157.10428491929798,217.83681973212742,True
Chronos2-ZS,2026-03-16,203.68,164.95685501446133,185.41539216068253,66.52097725042117,362.39851783601625,382,576,66.31944444444444,-18.264607839317478,18.264607839317478,-38.72314498553868,True,-21.914552807581387,38.817982005248055,163.50083935310113,224.23337416593057,True
Chronos2-ZS,2026-03-17,280.51,258.85421522698016,285.5530185627295,104.58591628096794,538.2672170761417,576,576,100.0,5.0430185627295145,5.0430185627295145,-21.655784773019832,True,-21.914552807581387,38.817982005248055,263.6384657551481,324.37100056797755,True
Chronos2-ZS,2026-03-18,260.75,255.3030505462666,281.75367941964225,114.35236980398699,483.71729618059766,576,576,100.0,21.003679419642253,21.003679419642253,-5.446949453733396,True,-21.914552807581387,38.817982005248055,259.83912661206085,320.5716614248903,True
Chronos2-ZS,2026-03-19,182.49,246.51591284040478,273.8445792826004,101.80104310608455,465.6768455240903,576,576,100.0,91.35457928260041,91.35457928260041,64.02591284040477,True,-21.914552807581387,38.817982005248055,251.93002647501902,312.66256128784846,False
Chronos2-ZS,2026-03-20,281.19,192.1561219211726,214.66785257136303,74.00892013739758,427.2826941975305,576,576,100.0,-66.52214742863697,66.52214742863697,-89.0338780788274,True,-21.914552807581387,38.817982005248055,192.75329976378163,253.48583457661107,False
Chronos2-ZS,2026-03-21,174.28,205.5159614085569,226.68201089708737,76.16154341244086,465.3036349748873,576,576,100.0,52.402010897087365,52.402010897087365,31.235961408556904,True,-21.914552807581387,38.817982005248055,204.76745808950596,265.4999929023354,False
Chronos2-ZS,2026-03-22,220.2,156.83278028835775,169.40459004895857,56.125443143532436,364.2717279374651,576,576,100.0,-50.79540995104142,50.79540995104142,-63.367219711642235,True,-21.914552807581387,38.817982005248055,147.4900372413772,208.22257205420664,False
Chronos2-ZS,2026-03-23,290.4,228.8166493792669,251.17277266166832,85.4921444446156,493.1561287996076,576,576,100.0,-39.22722733833166,39.22722733833166,-61.583350620733086,True,-21.914552807581387,38.817982005248055,229.25821985408692,289.99075466691636,False
