model,horizon,n_tanks,n_tanks_scaled,rows_evaluated,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,p10_p90_coverage,p10_p90_width
Chronos2-COV-XL,6,24,24,3405,0.19727069834272906,0.3971685591557699,0.6001956012389387,0.4909016001162927,0.39133292019959504,0.7213228979182926,0.7403817914831131,0.5781174956403622
Chronos2-ZS,6,24,24,3405,0.19741258850553622,0.3975839384598419,0.6017334793050494,0.490958563148663,0.391073734555413,0.7225336915286316,0.720704845814978,0.5602388474512034
Chronos2-COV,6,24,24,3405,0.1972596265435308,0.39656172256145394,0.6017861210987464,0.49089374896823057,0.3915172167248977,0.7193813963913491,0.7368575624082232,0.5655274271714418
Chronos2-COV-LEAN,6,24,24,3405,0.19706561700304012,0.3974684551190866,0.6026672568188272,0.491704079776834,0.39080181538142345,0.7212520457646078,0.7033773861967695,0.5491996320963631
NPTS,6,24,24,3405,0.23055244536764954,0.44198181427677846,0.6871318637389879,0.5493968435816757,0.4489204026187261,0.7865254349670973,0.8499265785609398,0.6755447870778267
DynamicOptimizedTheta,6,24,24,3405,0.25964780312785846,0.4291681710877791,0.8963437616990797,0.5520770556596691,0.4905848928979866,0.7719300831205702,0.9215859030837005,1.4489208693082838
Theta,6,24,24,3405,0.2595229362375338,0.4287142752896702,0.8964590767976413,0.5515140712028898,0.49029069966557715,0.7710971013369423,0.9209985315712188,1.447199457125063
ETS,6,24,24,3405,0.2593861126526932,0.418392336112571,0.9096351684499515,0.5390332458076028,0.4950196370617436,0.7553179886198014,0.9145374449339208,1.2223583820643913
SeasonalNaive,6,24,24,3405,0.30951265747965007,0.5649063723280547,0.9806156959640969,0.7174482754916068,0.6036064605912418,1.021678774310371,0.9030837004405287,1.6808141868177426
Chronos2-COV-XL,12,24,24,6861,0.20169575203995452,0.4174615178994155,0.6280869562504847,0.5250236692438467,0.40203936325707207,0.7543111307731044,0.739833843463052,0.6149031800961696
Chronos2-COV,12,24,24,6861,0.2017573189909907,0.41664793665838534,0.6292342010187465,0.5246484040350939,0.4027913451481843,0.7522153129116039,0.7335665354904533,0.604037758941138
Chronos2-ZS,12,24,24,6861,0.20290535126803044,0.42069610181860506,0.6294158881434958,0.5271360980123537,0.4049919670560594,0.7606116990753092,0.7137443521352572,0.583258151619768
Chronos2-COV-LEAN,12,24,24,6861,0.20161763341528113,0.4176040553887184,0.6303708318491422,0.5257354436002079,0.40138274283232533,0.7531702102405049,0.7058737793324589,0.5886264501007369
NPTS,12,24,24,6861,0.22552924769576713,0.4518694063576434,0.6923200085048317,0.5687552682409074,0.4412163039235655,0.8046795638912713,0.8456493222562309,0.6774027109750765
Theta,12,24,24,6861,0.2686451084448282,0.45014760690327504,0.9451032386919539,0.5852296516415165,0.5056250708493202,0.8055889651381567,0.929893601515814,1.5290036773743538
DynamicOptimizedTheta,12,24,24,6861,0.26914430996798483,0.4507323364906954,0.945945236683461,0.5860289539948076,0.5065891563687192,0.8066204794169818,0.9307681096050139,1.5329946896203823
ETS,12,24,24,6861,0.2610813982178584,0.4355895841395983,0.9479721306904509,0.5697971357512096,0.4924122077186094,0.7813859576376974,0.9134236991692173,1.2372920745703673
SeasonalNaive,12,24,24,6861,0.3041428984737289,0.5778667230853216,0.9665543676105562,0.739898243371349,0.5936227067332187,1.0363129035252376,0.9017635913132196,1.6810247245224996
Chronos2-COV-XL,24,24,24,13530,0.21043499538973734,0.46196939453960323,0.6550124166937343,0.5668097554659751,0.4244035318112416,0.8398207731283593,0.7572062084257206,0.6358840819305596
Chronos2-ZS,24,24,24,13530,0.2115649801623051,0.46395104526210146,0.6552219084375984,0.566985865273001,0.4272729562101331,0.8423534986704653,0.7220990391722099,0.5991996847934664
Chronos2-COV,24,24,24,13530,0.21051203797565962,0.4624273027355155,0.6557967354557676,0.5671145194327587,0.42489554401094204,0.840206019214844,0.7490761271249076,0.6276227169422384
Chronos2-COV-LEAN,24,24,24,13530,0.2102493425142098,0.46308523226886966,0.6562459433163864,0.5676872100584411,0.4235065404225561,0.8408525916406604,0.7178861788617886,0.6152706206436377
NPTS,24,24,24,13530,0.23027012932832705,0.49208245175423987,0.7097936683262253,0.6063940238364106,0.459094866030104,0.8869006946672288,0.8422764227642277,0.6797413155949741
Theta,24,24,24,13530,0.2797937103176853,0.4988871674878244,0.9560960341634974,0.6291696204165836,0.5350086848893109,0.9006315023406809,0.9395417590539542,1.6837441617372
DynamicOptimizedTheta,24,24,24,13530,0.28057363636925786,0.4998919593822258,0.9575116352993062,0.6303779048892496,0.5366199111743855,0.9026545116828077,0.9403547671840354,1.6916630709856673
ETS,24,24,24,13530,0.2685050998137186,0.4808509504813627,0.9610624337135988,0.6071715072191711,0.5122846655770497,0.8714330101514132,0.9123429416112343,1.2617081842758884
SeasonalNaive,24,24,24,13530,0.3177993404002478,0.6455508965411411,1.0319684766451995,0.8020138838446383,0.6309079948090974,1.1738382721623117,0.9002217294900222,1.709418582598911
Chronos2-COV-XL,48,24,24,27323,0.2147431789741363,0.46712478192811985,0.6632686297799673,0.5710224336179298,0.43598180548531024,0.8513835800771145,0.7567983017970208,0.6490316912246566
Chronos2-COV,48,24,24,27323,0.21510591227057882,0.4677328399219813,0.664257217847947,0.5712792174778359,0.43733811181686766,0.8529298050720934,0.7532847783918311,0.6434671232238853
Chronos2-COV-LEAN,48,24,24,27323,0.21510438770068396,0.46835635235924983,0.66538403626639,0.5720519276122465,0.4366541612956239,0.8537020293050136,0.7264575632251217,0.6347747934210283
Chronos2-ZS,48,24,24,27323,0.21614410676058826,0.4688044625576788,0.6655663677643385,0.5721864830584962,0.4392224989594083,0.8529266273277206,0.7288365113640523,0.6149262327929857
NPTS,48,24,24,27323,0.23121475379898734,0.493388295260251,0.7113190445337308,0.6075483419800304,0.4627091336146845,0.8899179387660054,0.8407934707023387,0.6820923763861948
ETS,48,24,24,27323,0.27217218856952297,0.4863244793809776,0.9717734402237136,0.6120373209400317,0.5220831562625154,0.8850380654009361,0.9145774622113237,1.3034951998381774
Theta,48,24,24,27323,0.2873987958952614,0.5061883146022614,0.9845309723584391,0.6365892452071528,0.552093397747934,0.9202318220033415,0.9495662994546719,1.9781427327560652
DynamicOptimizedTheta,48,24,24,27323,0.2882488868879598,0.5072836296457122,0.9855741872528494,0.6377730869530812,0.5539924852592863,0.9225378293586886,0.9506276763166563,1.9930198512413257
