model,horizon,n_tanks,n_tanks_scaled,rows_evaluated,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,rank_mase
Chronos2-COV-XL,6,24,24,3405,0.19727069834272906,0.3971685591557699,0.6001956012389387,0.4909016001162927,0.39133292019959504,0.7213228979182926,1
Chronos2-ZS,6,24,24,3405,0.19741258850553622,0.3975839384598419,0.6017334793050494,0.490958563148663,0.391073734555413,0.7225336915286316,2
Chronos2-COV,6,24,24,3405,0.1972596265435308,0.39656172256145394,0.6017861210987464,0.49089374896823057,0.3915172167248977,0.7193813963913491,3
Chronos2-COV-LEAN,6,24,24,3405,0.19706561700304012,0.3974684551190866,0.6026672568188272,0.491704079776834,0.39080181538142345,0.7212520457646078,4
NPTS,6,24,24,3405,0.23055244536764954,0.44198181427677846,0.6871318637389879,0.5493968435816757,0.4489204026187261,0.7865254349670973,5
PatchTST-Tuned,6,24,24,3405,0.23645542794465457,0.44485387741338095,0.7184777373725147,0.571503025130459,0.46451303817005185,0.811071439881,6
PatchTST,6,24,24,3405,0.25577967999686296,0.46385980768471713,0.7736143669747865,0.5979847327007524,0.4995981334738477,0.8398820376447838,7
MLP,6,24,24,3405,0.2524704738999846,0.4225648061314189,0.8255148187492226,0.5263883307438995,0.48791385413181476,0.7703239216184783,8
Linear-AR,6,24,24,3405,0.2608852324680561,0.42747587234638057,0.8909747817117079,0.5337175419262823,0.4985901342911099,0.7798329099822647,9
DynamicOptimizedTheta,6,24,24,3405,0.25964780312785846,0.4291681710877791,0.8963437616990797,0.5520770556596691,0.4905848928979866,0.7719300831205702,10
Theta,6,24,24,3405,0.2595229362375338,0.4287142752896702,0.8964590767976413,0.5515140712028898,0.49029069966557715,0.7710971013369423,11
ETS,6,24,24,3405,0.2593861126526932,0.418392336112571,0.9096351684499515,0.5390332458076028,0.4950196370617436,0.7553179886198014,12
SeasonalNaive,6,24,24,3405,0.30951265747965007,0.5649063723280547,0.9806156959640969,0.7174482754916068,0.6036064605912418,1.021678774310371,13
Chronos2-COV-XL,12,24,24,6861,0.20169575203995452,0.4174615178994155,0.6280869562504847,0.5250236692438467,0.40203936325707207,0.7543111307731044,1
Chronos2-COV,12,24,24,6861,0.2017573189909907,0.41664793665838534,0.6292342010187465,0.5246484040350939,0.4027913451481843,0.7522153129116039,2
Chronos2-ZS,12,24,24,6861,0.20290535126803044,0.42069610181860506,0.6294158881434958,0.5271360980123537,0.4049919670560594,0.7606116990753092,3
Chronos2-COV-LEAN,12,24,24,6861,0.20161763341528113,0.4176040553887184,0.6303708318491422,0.5257354436002079,0.40138274283232533,0.7531702102405049,4
NPTS,12,24,24,6861,0.22552924769576713,0.4518694063576434,0.6923200085048317,0.5687552682409074,0.4412163039235655,0.8046795638912713,5
PatchTST-Tuned,12,24,24,6861,0.24523038707190312,0.4639381153896716,0.7609492942035897,0.5981493442422944,0.4785205654117678,0.8326788997904089,6
PatchTST,12,24,24,6861,0.2685543895835633,0.4868136944993296,0.8244698187714089,0.6274016367965997,0.523767804247792,0.8781978388416558,7
MLP,12,24,24,6861,0.25692258097707976,0.4401392189806261,0.8597885557490498,0.5526925134612163,0.49355740860127795,0.8020251280545405,8
Linear-AR,12,24,24,6861,0.26006704684534254,0.4412147821021039,0.9026769333332694,0.5571733173514313,0.4962324198415354,0.8008398361586591,9
Theta,12,24,24,6861,0.2686451084448282,0.45014760690327504,0.9451032386919539,0.5852296516415165,0.5056250708493202,0.8055889651381567,10
DynamicOptimizedTheta,12,24,24,6861,0.26914430996798483,0.4507323364906954,0.945945236683461,0.5860289539948076,0.5065891563687192,0.8066204794169818,11
ETS,12,24,24,6861,0.2610813982178584,0.4355895841395983,0.9479721306904509,0.5697971357512096,0.4924122077186094,0.7813859576376974,12
SeasonalNaive,12,24,24,6861,0.3041428984737289,0.5778667230853216,0.9665543676105562,0.739898243371349,0.5936227067332187,1.0363129035252376,13
Chronos2-COV-XL,24,24,24,13530,0.21043499538973734,0.46196939453960323,0.6550124166937343,0.5668097554659751,0.4244035318112416,0.8398207731283593,1
Chronos2-ZS,24,24,24,13530,0.2115649801623051,0.46395104526210146,0.6552219084375984,0.566985865273001,0.4272729562101331,0.8423534986704653,2
Chronos2-COV,24,24,24,13530,0.21051203797565962,0.4624273027355155,0.6557967354557676,0.5671145194327587,0.42489554401094204,0.840206019214844,3
Chronos2-COV-LEAN,24,24,24,13530,0.2102493425142098,0.46308523226886966,0.6562459433163864,0.5676872100584411,0.4235065404225561,0.8408525916406604,4
NPTS,24,24,24,13530,0.23027012932832705,0.49208245175423987,0.7097936683262253,0.6063940238364106,0.459094866030104,0.8869006946672288,5
PatchTST-Tuned,24,24,24,13530,0.26018735461554454,0.5133585814728484,0.8018708616635911,0.6492660296328642,0.5161511916334944,0.9283720707894437,6
PatchTST,24,24,24,13530,0.2811926799007713,0.5318515422340285,0.8532784313773861,0.6672692050210675,0.5596091396308162,0.9684675622231175,7
MLP,24,24,24,13530,0.2618635306596591,0.4810697678074094,0.8700449314476296,0.5934848659413006,0.5081973593605403,0.8763626124445397,8
Linear-AR,24,24,24,13530,0.26685394253155964,0.48449957665144666,0.9298667889546509,0.5988970352297239,0.5154751858746738,0.8830224121344565,9
Theta,24,24,24,13530,0.2797937103176853,0.4988871674878244,0.9560960341634974,0.6291696204165836,0.5350086848893109,0.9006315023406809,10
DynamicOptimizedTheta,24,24,24,13530,0.28057363636925786,0.4998919593822258,0.9575116352993062,0.6303779048892496,0.5366199111743855,0.9026545116828077,11
ETS,24,24,24,13530,0.2685050998137186,0.4808509504813627,0.9610624337135988,0.6071715072191711,0.5122846655770497,0.8714330101514132,12
SeasonalNaive,24,24,24,13530,0.3177993404002478,0.6455508965411411,1.0319684766451995,0.8020138838446383,0.6309079948090974,1.1738382721623117,13
