tank,horizon,horizon_label,n_observations,mean_actual_kl_h,chronos2_mae,npts_mae,seasonal_naive_mae,chronos2_rmse,npts_rmse,seasonal_naive_rmse,chronos2_mase,npts_mase,seasonal_naive_mase,chronos2_rmsse,npts_rmsse,seasonal_naive_rmsse,chronos2_vs_npts_pct,chronos2_vs_npts_pct_mae,chronos2_vs_naive_pct,winner,beats_seasonal_naive_reference,sensor_trust_tier,missing_pct,zero_pct,rel_resid,panel_mean_kl_h
BE_BLOCK_OHT,6,6h,142,1.7737323943661973,0.6406146940043276,0.6698591549295774,0.8845774647887324,0.9905514039424992,1.0209516411275936,1.3155797201234138,0.6754155154054844,0.7062782315521716,0.9325758892729853,0.6197546735166262,0.6388684855006695,0.822988034766709,4.369767432710044,4.36576266966513,27.575275838192347,Chronos-2,True,healthy,9.9,3.12,0.097,1.6739
BE_BLOCK_RO,6,6h,142,0.009788732394366197,0.005576202258939894,0.009577464788732394,0.009084507042253522,0.009721014749218273,0.01748238550132394,0.017939648433441858,0.4225475212478323,0.7260496900809825,0.6873824599482502,0.15631968633482737,0.2811281526500478,0.2870675952481879,41.80184538048602,41.777888178715806,38.52803266472003,Chronos-2,True,dead,10.44,73.53,0.2841,0.0083
CRICKET_GROUND_OHT,6,6h,142,0.013380281690140848,0.013651792134460012,0.013521126760563383,0.02232394366197183,0.05309879825154585,0.053365600567628416,0.07270914466770917,0.24179815390021406,0.23945436718235757,0.39495056038483844,0.4133745114340275,0.41546690644534057,0.5657821931646705,-0.9788030786139563,-0.9663793277771535,38.77761468052944,NPTS,True,degraded,20.7,39.98,0.1437,0.0423
F_BLOCK,6,6h,142,0.6871126760563381,0.27616014749231477,0.37514084507042267,0.5430281690140843,0.5955831830678917,0.6879234931257735,0.927861011325526,0.47357544266409807,0.6434498037303484,0.9316577065303349,0.49326134914813835,0.569901116911538,0.7694756525215107,26.40056148613574,26.384942849805363,49.168515502567956,Chronos-2,True,healthy,0.2,5.87,0.0883,0.6979
GJBC_BLOCK_1_A1_BOYS,6,6h,142,0.15492957746478872,0.06409562227381786,0.06781690140845072,0.08992957746478875,0.09078771448092295,0.09593498385240165,0.12129872333083369,0.4824741305887128,0.5105473454433624,0.6771320598169983,0.42331022335229723,0.4473605693082022,0.5657332008738801,5.498650635480376,5.487244414515734,28.747409963263852,Chronos-2,True,degraded,1.91,14.61,0.112,0.1723
GJBC_BLOCK_1_A2_GIRLS,6,6h,142,0.15971830985915494,0.052616798248089534,0.05816901408450705,0.07640845070422536,0.0764013142755538,0.08299838790221288,0.10993275793686627,0.38645901662487325,0.4271799075202575,0.5612874160576271,0.3569501698356006,0.38760822517828497,0.513494875994692,9.532492090221536,9.544971534761348,31.14774969670874,Chronos-2,True,healthy,0.78,14.31,0.0781,0.1758
GJBC_BLOCK_1_A3,6,6h,142,0.18105633802816903,0.08928040674244854,0.09492957746478874,0.12267605633802818,0.12523971488978267,0.13041105111730802,0.17047572211604187,0.5298517927871187,0.5634398866077889,0.7281198424725365,0.4562831806107871,0.4752021980519314,0.6211626326172819,5.961255959866202,5.950906844008219,27.230139617146357,Chronos-2,True,healthy,0.62,14.45,0.0657,0.2201
GJBC_BLOCK_1_A4_RO,6,6h,142,0.0060563380281690145,0.006102367951411715,0.0060563380281690145,0.009507042253521128,0.036598941075444216,0.03661755139851019,0.05090034450200249,0.1023310111751752,0.10155471772825893,0.15947545461704604,0.18448683507212918,0.18458146074194892,0.2566786153794293,-0.7644090439928931,-0.7600289651701719,35.83275155358157,NPTS,True,degraded,0.38,51.5,0.1179,0.0611
GJBC_BLOCK_2_A1,6,6h,142,0.42133802816901406,0.11615683079185622,0.16549295774647887,0.21838028169014087,0.20244180627831526,0.29101086567972334,0.3659417717092299,0.5576277581161962,0.7945255184559988,1.0482709872043259,0.5727395752855651,0.8233643493357296,1.0352124510528824,29.81625571953509,29.811617138537944,46.80499938252082,Chronos-2,True,healthy,0.53,10.08,0.0883,0.3573
GJBC_LAW_BLOCK_3_A4_BOYS,6,6h,142,1.1424647887323942,0.5812268821454384,0.643661971830986,0.8708450704225351,0.9365225653393964,1.042205813525562,1.4050687918600837,0.702211206485257,0.7777148842765168,1.0520799856025638,0.5847245378950855,0.6507194076559599,0.8773537127717799,9.708400767139544,9.699981110883757,33.25496007006771,Chronos-2,True,healthy,0.45,5.42,0.0677,1.2215
