origin,actual,chronos2,npts,seasonal_naive,cum_actual,cum_chronos2,cum_npts,cum_seasonal_naive,cum_gap_chronos2,cum_gap_npts
2026-03-24 22:00:00,171.93,148.20348,145.75,167.09,171.93,148.20348,145.75,167.09,-23.72652404785157,-26.180000000000007
2026-03-25 21:00:00,319.12,235.4157,232.82,325.13,491.05,383.61917,378.57,492.22,-107.43082885742189,-112.48000000000002
2026-03-26 20:00:00,312.8,262.51202,248.5,366.14,803.85,646.1312,627.0699999999999,858.36,-157.71877441406252,-176.7800000000001
2026-03-27 19:00:00,286.1,219.14032,253.49,306.77,1089.95,865.27155,880.56,1165.13,-224.6784545898438,-209.3900000000001
2026-03-28 18:00:00,203.61,191.53255,250.08,288.08,1293.56,1056.8041,1130.6399999999999,1453.21,-236.75592285156245,-162.92000000000007
2026-03-29 17:00:00,299.26,264.69876,251.04,204.47,1592.82,1321.5028,1381.6799999999998,1657.68,-271.31719238281244,-211.1400000000001
2026-03-30 16:00:00,328.7,281.014,252.21,291.78,1921.52,1602.5168,1633.8899999999999,1949.46,-319.003154296875,-287.6300000000001
2026-03-31 15:00:00,293.17,271.4705,252.24,328.28,2214.69,1873.9873,1886.1299999999999,2277.74,-340.70269531250005,-328.5600000000002
2026-04-01 14:00:00,360.62,262.26285,253.15,294.95,2575.31,2136.2502,2139.2799999999997,2572.6899999999996,-439.05975585937495,-436.0300000000002
2026-04-02 13:00:00,332.74,284.07867,255.54,359.56,2908.05,2420.3289,2394.8199999999997,2932.2499999999995,-487.7211425781252,-513.2300000000005
2026-04-03 12:00:00,277.08,248.62537,254.98,342.0,3185.13,2668.954,2649.7999999999997,3274.2499999999995,-516.1758984375001,-535.3300000000004
2026-04-04 11:00:00,192.1,204.16812,257.55,277.33,3377.23,2873.1223,2907.35,3551.5799999999995,-504.107685546875,-469.8800000000001
2026-04-05 10:00:00,197.23,204.92209,253.76,199.24,3574.46,3078.0444,3161.1099999999997,3750.8199999999997,-496.41556640625004,-413.35000000000036
2026-04-06 09:00:00,258.65,233.7091,251.33,180.28,3833.11,3311.7534,3412.4399999999996,3931.1,-521.3565820312501,-420.6700000000005
2026-04-07 08:00:00,257.93,243.97379,251.96,259.41,4091.04,3555.7273,3664.3999999999996,4190.51,-535.312705078125,-426.6400000000003
2026-04-08 07:00:00,294.13,251.13496,251.13,256.02,4385.17,3806.8623,3915.5299999999997,4446.530000000001,-578.3076953125001,-469.6400000000003
2026-04-09 06:00:00,263.51,263.4692,254.78,290.71999999999997,4648.68,4070.3315,4170.3099999999995,4737.250000000001,-578.3484570312503,-478.3700000000008
2026-04-10 05:00:00,287.14,249.74828,253.78,263.03,4935.820000000001,4320.0796,4424.089999999999,5000.280000000001,-615.7404101562506,-511.7300000000014
2026-04-11 04:00:00,260.67,228.11847,254.08,289.78,5196.490000000001,4548.198,4678.169999999999,5290.06,-648.2917578125007,-518.3200000000015
2026-04-12 03:00:00,235.60999999999999,176.98285,252.68,263.26,5432.1,4725.181,4930.849999999999,5553.320000000001,-706.9188476562504,-501.2500000000009
2026-04-13 02:00:00,306.43,265.75845,250.2,234.32,5738.530000000001,4990.9395,5181.049999999999,5787.64,-747.5905468750007,-557.4800000000014
2026-04-14 01:00:00,213.46,267.41574,250.56,304.04,5951.990000000001,5258.355,5431.61,6091.68,-693.6350195312507,-520.380000000001
2026-04-15 00:00:00,309.5,247.18288,252.2,214.03,6261.490000000001,5505.538,5683.8099999999995,6305.71,-755.9519140625007,-577.6800000000012
2026-04-15 23:00:00,320.82,276.7485,249.05,302.73,6582.31,5782.2866,5932.86,6608.4400000000005,-800.0233789062504,-649.4500000000007
