horizon,horizon_label,model,nominal,empirical,kind
6,6h,Chronos2-ZS,0.1,0.2895741556534508,quantile
6,6h,Chronos2-ZS,0.25,0.3782672540381791,quantile
6,6h,Chronos2-ZS,0.5,0.5638766519823789,quantile
6,6h,Chronos2-ZS,0.75,0.7694566813509545,quantile
6,6h,Chronos2-ZS,0.9,0.8848751835535976,quantile
6,6h,NPTS,0.1,0.2916299559471366,quantile
6,6h,NPTS,0.9,0.9063142437591777,quantile
6,6h,Chronos2-ZS,0.8,0.720704845814978,interval
6,6h,Chronos2-ZS,0.5,0.42672540381791485,interval
6,6h,NPTS,0.8,0.8499265785609398,interval
12,12h,Chronos2-ZS,0.1,0.29558373414954087,quantile
12,12h,Chronos2-ZS,0.25,0.37909925666812416,quantile
12,12h,Chronos2-ZS,0.5,0.5542923772044891,quantile
12,12h,Chronos2-ZS,0.75,0.7672350969246465,quantile
12,12h,Chronos2-ZS,0.9,0.8874799591896225,quantile
12,12h,NPTS,0.1,0.2931059612301414,quantile
12,12h,NPTS,0.9,0.9014720886168197,quantile
12,12h,Chronos2-ZS,0.8,0.7137443521352572,interval
12,12h,Chronos2-ZS,0.5,0.42719720157411456,interval
12,12h,NPTS,0.8,0.8456493222562309,interval
24,24h,Chronos2-ZS,0.1,0.29194382852919437,quantile
24,24h,Chronos2-ZS,0.25,0.36755358462675536,quantile
24,24h,Chronos2-ZS,0.5,0.5419807834441981,quantile
24,24h,Chronos2-ZS,0.75,0.7582409460458241,quantile
24,24h,Chronos2-ZS,0.9,0.8883961566888396,quantile
24,24h,NPTS,0.1,0.2877309682187731,quantile
24,24h,NPTS,0.9,0.8955654101995565,quantile
24,24h,Chronos2-ZS,0.8,0.7220990391722099,interval
24,24h,Chronos2-ZS,0.5,0.42727272727272725,interval
24,24h,NPTS,0.8,0.8422764227642277,interval
48,48h,Chronos2-ZS,0.1,0.29217143066281154,quantile
48,48h,Chronos2-ZS,0.25,0.36928594956629945,quantile
48,48h,Chronos2-ZS,0.5,0.5394722395051788,quantile
48,48h,Chronos2-ZS,0.75,0.7575668850419061,quantile
48,48h,Chronos2-ZS,0.9,0.8903853895985068,quantile
48,48h,NPTS,0.1,0.2891336968854079,quantile
48,48h,NPTS,0.9,0.8950334882699558,quantile
48,48h,Chronos2-ZS,0.8,0.7288365113640523,interval
48,48h,Chronos2-ZS,0.5,0.42923544266734986,interval
48,48h,NPTS,0.8,0.8407934707023387,interval
72,72h,Chronos2-ZS,0.1,0.2921973748176957,quantile
72,72h,Chronos2-ZS,0.25,0.3704180845892076,quantile
72,72h,Chronos2-ZS,0.5,0.5406417112299465,quantile
72,72h,Chronos2-ZS,0.75,0.7571463296062226,quantile
72,72h,Chronos2-ZS,0.9,0.891832766164317,quantile
72,72h,NPTS,0.1,0.2901312591152163,quantile
72,72h,NPTS,0.9,0.8948711716091395,quantile
72,72h,Chronos2-ZS,0.8,0.7322557122022363,interval
72,72h,Chronos2-ZS,0.5,0.4291200777831794,interval
72,72h,NPTS,0.8,0.8393048128342246,interval
168,168h,Chronos2-ZS,0.1,0.29221513406980965,quantile
168,168h,Chronos2-ZS,0.25,0.36975260619262484,quantile
168,168h,Chronos2-ZS,0.5,0.54161091229708,quantile
168,168h,Chronos2-ZS,0.75,0.7602510243244645,quantile
168,168h,Chronos2-ZS,0.9,0.8945179191950625,quantile
168,168h,NPTS,0.1,0.2929827291115606,quantile
168,168h,NPTS,0.9,0.8936880867174939,quantile
168,168h,Chronos2-ZS,0.8,0.7428037964835849,interval
168,168h,Chronos2-ZS,0.5,0.4404439603754992,interval
168,168h,NPTS,0.8,0.8363362896115347,interval
