horizon,horizon_label,metric,n_origins,chronos2,npts,diff,diff_pct,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,wins_origins
6,6h,MAE,24,0.1958597924489299,0.22873408564814812,-0.03287429319921826,-14.372275608186959,-0.05665243957019332,-0.014281742931082114,-24.767816921409498,-6.243819276262616,0.0,-2.9460823190446166,0.0072501838784693184,True,19
6,6h,MASE,24,0.596173475223719,0.6813092938065014,-0.08513581858278245,-12.49591328882736,-0.13880247367186727,-0.041791125377645615,-20.372901842623115,-6.133943240984866,0.0,-3.3721727807007427,0.0026298684797660954,True,18
12,12h,MAE,24,0.20245644476148775,0.2250158179012346,-0.02255937313974678,-10.025683238699552,-0.039950213164811295,-0.008329245526457819,-17.754402129341194,-3.7016266696920597,0.0,-2.7069421223812267,0.012579140055785087,True,20
12,12h,MASE,24,0.627832870455817,0.6907974658761917,-0.0629645954203746,-9.11476931093135,-0.09948240065373276,-0.031956238529149424,-14.401095193299756,-4.625992437395071,0.0,-3.5660408431020074,0.0016409355620952137,True,17
24,24h,MAE,24,0.21110794348326048,0.2297475311147186,-0.018639587631458125,-8.113074182351461,-0.02997443759093079,-0.00837294260450199,-13.046685396572908,-3.6444102636825173,0.0,-3.1409692188275034,0.004579822044728177,True,20
24,24h,MASE,24,0.6563016477223401,0.7109098367277497,-0.054608189005409535,-7.681450752850155,-0.0800487390863852,-0.031192327610149225,-11.260040999691595,-4.387662963523552,0.0,-3.7082537947032317,0.0011575455826688952,True,19
48,48h,MAE,24,0.21628921618847488,0.2313036711097516,-0.015014454921276744,-6.491230705176535,-0.02234343787465779,-0.008359468548358005,-9.659785237068728,-3.6140665248635453,0.0,-2.90244339035349,0.00802603477294861,True,20
48,48h,MASE,24,0.6668431302730689,0.7125859764544068,-0.04574284618133801,-6.419273981357219,-0.06390014577289127,-0.027716131908593327,-8.967359432308415,-3.8895140831285615,0.0,-3.2700394565150344,0.0033640544623181334,True,21
72,72h,MAE,24,0.2174327787558811,0.23066272817009667,-0.013229949414215536,-5.735625135093099,-0.019145146314618243,-0.007750884058966351,-8.300060641136662,-3.3602672267236207,0.0,-3.2428899154901023,0.0035905226464794104,True,20
72,72h,MASE,24,0.6670011520667843,0.7095294429414398,-0.042528290874655574,-5.99387260074077,-0.057122469759179145,-0.028245772692496136,-8.050753964820835,-3.980916221799039,0.0,-2.966959270575538,0.006904873967071179,True,21
168,168h,MAE,24,0.2197993179577634,0.23249029254367018,-0.012690974585906822,-5.458711607721425,-0.01482329766042137,-0.010484735983358268,-6.375878105808229,-4.509752157238501,0.0,-4.6282535824899025,0.00011756387890904385,True,24
168,168h,MASE,24,0.6652976708299781,0.7057442937173383,-0.04044662288736009,-5.731059145277284,-0.04751247522754604,-0.03363162007718954,-6.73225071042169,-4.765411548713072,0.0,-3.957975452000278,0.0006243897433888534,True,24
