tank,trust,horizon,mean_actual_kl_h,chronos2_mae,npts_mae,diff,improvement_pct,ci_lo,ci_hi,ci_lo_pct,ci_hi_pct,p_bootstrap,verdict
BE_BLOCK_RO,dead,24,0.01148936170212766,0.0075520411580999244,0.010552849927849927,-0.003000808769750004,28.43600345183151,-0.004264224800420277,-0.0015185539923823497,14.389989460332872,40.4082767174259,0.0002,Chronos-2 better
GJBC_LAW_BLOCK_3__A2,healthy,24,0.4324468085106383,0.1683805739648995,0.23373669733044733,-0.06535612336554784,27.961430152814234,-0.10628022535319048,-0.02949525023198621,12.619007014669602,45.47006377990182,0.0,Chronos-2 better
GJBC_BLOCK_2_A1,healthy,24,0.4049468085106383,0.11670881814593488,0.1548960588023088,-0.03818724065637391,24.653461780529636,-0.06164108242748324,-0.01751017477554049,11.304467596485736,39.79512642484642,0.0,Chronos-2 better
TECH_PARK,healthy,24,0.40037234042553194,0.1802648522565343,0.2234828192640693,-0.043217967007534976,19.338384556742255,-0.08337727642901516,-0.008264695123369538,3.698134447464572,37.30813702081314,0.0128,Chronos-2 better
GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,24,0.3408333333333334,0.14254718383138495,0.1735757124819625,-0.03102852865057752,17.87607736526037,-0.054678757683643775,-0.010293644097020513,5.930348174771399,31.501387435944324,0.0014,Chronos-2 better
F_BLOCK,healthy,24,0.709822695035461,0.3667177838073374,0.4329642406204906,-0.0662464568131532,15.300676267909319,-0.12237762608359234,-0.016014902881602656,3.698897363590893,28.265065472430305,0.004,Chronos-2 better
MRD_BLOCK,healthy,24,1.388758865248227,0.7366995369819292,0.8418087121212121,-0.10510917513928286,12.486111586375241,-0.19887176358283318,-0.021804185058123333,2.590159111466139,23.624341340173444,0.0098,Chronos-2 better
IT_BLOCK,degraded,24,0.09443262411347518,0.06176543777992325,0.06850063131313132,-0.006735193533208061,9.832308701535936,-0.01211190521275962,-0.0011558562298722849,1.6873658062925203,17.68145049261438,0.017,Chronos-2 better
GJBC_LAW_BLOCK_3_A4_BOYS,healthy,24,1.280709219858156,0.5882636313807503,0.6255657016594517,-0.03730207027870125,5.962934057885405,-0.0784916803588779,0.0013214932407385389,-0.21124771342690066,12.547312001067404,0.0574,no significant difference
GJBC_BLOCK_1_A3,healthy,24,0.1895390070921986,0.09829585923377189,0.10448006854256853,-0.006184209308796662,5.919032591634467,-0.013849702690627883,0.0013029169718733924,-1.247048350990067,13.255832316940978,0.1026,no significant difference
GJBC_BLOCK_1_A2_GIRLS,healthy,24,0.1647340425531915,0.0731683223291057,0.07774688852813853,-0.0045785661990328285,5.889066798314033,-0.009968439523410689,0.0007398439714929258,-0.9516058912443267,12.821657190567649,0.094,no significant difference
NEW_BLOCK,healthy,24,0.17489361702127657,0.03555285489692623,0.03771757756132756,-0.0021647226644013313,5.7392939959666345,-0.003896546588280816,-0.0004760839047782593,1.2622335143453003,10.330850601275113,0.0122,Chronos-2 better
GJBC_LAW_BLOCK_3__A1,healthy,24,0.6260071301247772,0.3694835944655573,0.3881076388888889,-0.018624044423331598,4.798680200330575,-0.035618059061275485,-0.001714851567902396,0.4418494757825006,9.177366145960493,0.0312,Chronos-2 better
GJBC_BLOCK_1_A1_BOYS,degraded,24,0.15852836879432625,0.07759916633845294,0.08139655483405484,-0.003797388495601886,4.665293885403032,-0.008903536317724042,0.0013721153121811146,-1.6857166927746268,10.938468263031403,0.1482,no significant difference
ME_WORKSHOP_BLOCK,degraded,24,0.037429078014184394,0.02701702368139285,0.0281737012987013,-0.0011566776173084468,4.105522398513416,-0.0022948642433510973,-0.00017004272532637657,0.6035512463327454,8.145412698958664,0.0208,Chronos-2 better
BE_BLOCK_OHT,healthy,24,1.9401241134751774,0.7129630558387327,0.7382638888888889,-0.025300833050156218,3.4270717328779,-0.07277928789439347,0.026988717942362878,-3.6557006713387774,9.858167112023947,0.3086,no significant difference
MM_BLOCK,healthy,24,1.1443617021276598,0.2366513056046239,0.23831168831168828,-0.0016603827070643753,0.6967273484684301,-0.010672664794824949,0.007639000592139117,-3.2054661885270415,4.478447897555974,0.7126,no significant difference
I&H_BLOCK,degraded,24,0.3141134751773049,0.33136044168645923,0.3290500992063492,0.0023103424801100103,-0.702124839251661,-0.00010480778032383566,0.004858593736811503,-1.4765513666551582,0.03185161790761537,0.0608,no significant difference
GJBC_BLOCK_1_A4_RO,degraded,24,0.0040070921985815595,0.004043780383231083,0.004012220418470418,3.155996476066438e-05,-0.7865959859876295,1.817895424738873e-05,4.6146863547494066e-05,-1.1501577364756712,-0.4530896199944844,0.0,NPTS better
G_BLOCK,healthy,24,1.0315248226950353,0.3443562605912014,0.3410671446608946,0.0032891159303067127,-0.964360238678783,-0.01105091370864331,0.017308820335822067,-5.074901117500288,3.2400991657025955,0.6334,no significant difference
CRICKET_GROUND_OHT,degraded,24,0.008421985815602837,0.008638648583370122,0.008496798340548341,0.00014185024282178046,-1.6694552128516933,9.175008751400098e-06,0.0002816506951529021,-3.314786156672817,-0.10798195253870164,0.0352,NPTS better
NBX,healthy,24,0.8031729055258466,0.3601062869897427,0.3539820075757576,0.0061242794139851,-1.7301103680176204,-0.014127435585866236,0.02547589250237104,-7.196945595298035,3.991003859946963,0.548,no significant difference
INFORMATION_CENTRE,dead,24,0.017304964539007095,0.017993467088353993,0.01766910173160173,0.0003243653567522645,-1.8357772889615953,0.00012768728512229364,0.0005414727580731746,-3.0645177457138866,-0.7226586108444948,0.002,NPTS better
NEW_BLOCK_RO,dead,24,0.0003900709219858156,0.00046071658053580146,0.00038194444444444446,7.877213609135701e-05,-20.62397744937347,6.784169025951235e-05,8.995425147768819e-05,-23.551658568703818,-17.76218799521778,0.0,NPTS better
