tank,trust,mean_actual_kl_h,skill_chronos2,skill_npts
INFORMATION_CENTRE,dead,0.017304964539007095,0.5188945249591723,0.5278180938558297
TECH_PARK,healthy,0.40037234042553194,0.4614064998733004,0.33167425606269196
CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.45942289786947244,0.46717724288840257
I&H_BLOCK,degraded,0.3141134751773049,0.44379855524361933,0.44807704294707984
GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.4380010122918897,0.2562172221282354
F_BLOCK,healthy,0.709822695035461,0.39513407349534435,0.2868535172734945
BE_BLOCK_RO,dead,0.01148936170212766,0.3686734142474739,0.10823170731707332
IT_BLOCK,degraded,0.09443262411347518,0.3474352069825615,0.2808613328383145
G_BLOCK,healthy,1.0315248226950353,0.3432019097804945,0.35025160795814314
GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.3419583450997128,0.2996306918634346
MRD_BLOCK,healthy,1.388758865248227,0.31827514724018935,0.2200271033683282
BE_BLOCK_OHT,healthy,1.9401241134751774,0.29967862498522424,0.2746921075455334
ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.2980840054606627,0.26625824693685196
GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.29745843186462806,0.023308490428175066
NEW_BLOCK,healthy,0.17489361702127657,0.29446243890292967,0.2527050610820244
NBX,healthy,0.8031729055258466,0.2852320535257793,0.30195515695067277
GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.28458395368093026,0.23774891774891782
GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.28325993458819465,0.24521816077870806
GJBC_BLOCK_1_A4_RO,degraded,0.0040070921985815595,0.27906514076837297,0.28481012658227867
MM_BLOCK,healthy,1.1443617021276598,0.26542796505790023,0.26222564497497114
GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.25169542170184644,0.21701329696556404
GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.24842077515391747,0.20059395248380119
NEW_BLOCK_RO,dead,0.0003900709219858156,0.2443469510214138,0.37142857142857144
GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333334,0.21391833424510698,0.044450872625590665
