tank,horizon,horizon_label,chronos2_mae,npts_mae,improvement_pct,winner
BE_BLOCK_OHT,6,6h,0.6406146940043276,0.6698591549295774,4.36576266966513,Chronos2-ZS
BE_BLOCK_RO,6,6h,0.005576202258939894,0.009577464788732394,41.777888178715806,Chronos2-ZS
CRICKET_GROUND_OHT,6,6h,0.013651792134460012,0.013521126760563383,-0.9663793277771535,NPTS
F_BLOCK,6,6h,0.27616014749231477,0.37514084507042267,26.384942849805363,Chronos2-ZS
GJBC_BLOCK_1_A1_BOYS,6,6h,0.06409562227381786,0.06781690140845072,5.487244414515734,Chronos2-ZS
GJBC_BLOCK_1_A2_GIRLS,6,6h,0.052616798248089534,0.05816901408450705,9.544971534761348,Chronos2-ZS
GJBC_BLOCK_1_A3,6,6h,0.08928040674244854,0.09492957746478874,5.950906844008219,Chronos2-ZS
GJBC_BLOCK_1_A4_RO,6,6h,0.006102367951411715,0.0060563380281690145,-0.7600289651701719,NPTS
GJBC_BLOCK_2_A1,6,6h,0.11615683079185622,0.16549295774647887,29.811617138537944,Chronos2-ZS
GJBC_LAW_BLOCK_3_A4_BOYS,6,6h,0.5812268821454384,0.643661971830986,9.699981110883757,Chronos2-ZS
GJBC_LAW_BLOCK_3__A1,6,6h,0.27191149156299427,0.31424460431654677,13.471388902801735,Chronos2-ZS
GJBC_LAW_BLOCK_3__A2,6,6h,0.18305621465327035,0.306056338028169,40.18871955645562,Chronos2-ZS
GJBC_LAW_BLOCK_3__A3_GIRLS,6,6h,0.14078501080543224,0.21373239436619718,34.13024206137931,Chronos2-ZS
G_BLOCK,6,6h,0.34794183114884614,0.35098591549295777,0.8672952986834902,Chronos2-ZS
I&H_BLOCK,6,6h,0.42744373198965907,0.432887323943662,1.2575078208368506,Chronos2-ZS
INFORMATION_CENTRE,6,6h,0.014391377174728354,0.014084507042253521,-2.1787779405713086,NPTS
IT_BLOCK,6,6h,0.06340652375678782,0.0678169014084507,6.503360607851811,Chronos2-ZS
ME_WORKSHOP_BLOCK,6,6h,0.025955958472381174,0.02612676056338028,0.6537438523415888,Chronos2-ZS
MM_BLOCK,6,6h,0.25691986159539554,0.2661971830985915,3.4851313583434673,Chronos2-ZS
MRD_BLOCK,6,6h,0.6201959884334618,0.8430985915492957,26.438497863722365,Chronos2-ZS
NBX,6,6h,0.3586004088378288,0.33598591549295775,-6.730786113962874,NPTS
NEW_BLOCK,6,6h,0.033934713555893434,0.03429577464788732,1.0527859355879268,Chronos2-ZS
NEW_BLOCK_RO,6,6h,0.00039114543697534417,0.00028169014084507044,-38.85663012624717,NPTS
TECH_PARK,6,6h,0.14748612266611044,0.22323943661971832,33.933661140101954,Chronos2-ZS
BE_BLOCK_OHT,12,12h,0.6704878746546232,0.6692307692307693,-0.18784333919656462,NPTS
BE_BLOCK_RO,12,12h,0.006780352307470528,0.010174825174825175,33.36148591283261,Chronos2-ZS
CRICKET_GROUND_OHT,12,12h,0.011109512198091179,0.010874125874125874,-2.1646459374301346,NPTS
F_BLOCK,12,12h,0.3350834216062839,0.4111888111888113,18.508623656975193,Chronos2-ZS
GJBC_BLOCK_1_A1_BOYS,12,12h,0.07235052786819583,0.07636363636363637,5.255261124981655,Chronos2-ZS
GJBC_BLOCK_1_A2_GIRLS,12,12h,0.06876331671342983,0.07363636363636364,6.617718043490352,Chronos2-ZS
GJBC_BLOCK_1_A3,12,12h,0.0970736931993828,0.1008041958041958,3.7007413977680144,Chronos2-ZS
GJBC_BLOCK_1_A4_RO,12,12h,0.004864709176207808,0.004825174825174826,-0.819335101118325,NPTS
GJBC_BLOCK_2_A1,12,12h,0.11236294047607408,0.1555944055944056,27.784716907511942,Chronos2-ZS
GJBC_LAW_BLOCK_3_A4_BOYS,12,12h,0.5691319751239323,0.5998601398601399,5.122554858099416,Chronos2-ZS
GJBC_LAW_BLOCK_3__A1,12,12h,0.347822167140435,0.3809187279151943,8.688614748846833,Chronos2-ZS
GJBC_LAW_BLOCK_3__A2,12,12h,0.16572334799733196,0.23804195804195805,30.380614677971593,Chronos2-ZS
GJBC_LAW_BLOCK_3__A3_GIRLS,12,12h,0.14563449459476072,0.19255244755244758,24.366323853093228,Chronos2-ZS
G_BLOCK,12,12h,0.3858287753425278,0.37741258741258743,-2.2299701204029505,NPTS
I&H_BLOCK,12,12h,0.30614885561116095,0.3063636363636364,0.07010647706913498,Chronos2-ZS
INFORMATION_CENTRE,12,12h,0.016784579424851842,0.01646853146853147,-1.9191022400770021,NPTS
IT_BLOCK,12,12h,0.05801692175099274,0.061398601398601406,5.507747034260128,Chronos2-ZS
ME_WORKSHOP_BLOCK,12,12h,0.025455316973107676,0.02653846153846154,4.081414304231944,Chronos2-ZS
MM_BLOCK,12,12h,0.23691598611278136,0.24045454545454545,1.4716125806958391,Chronos2-ZS
MRD_BLOCK,12,12h,0.6937746483629401,0.8576573426573427,19.10817830657554,Chronos2-ZS
NBX,12,12h,0.34360215715595055,0.34206293706293706,-0.4499815461533877,NPTS
NEW_BLOCK,12,12h,0.034814907251954914,0.03573426573426573,2.5727644416917226,Chronos2-ZS
NEW_BLOCK_RO,12,12h,0.0005455130867340921,0.00045454545454545455,-20.01287908150026,NPTS
TECH_PARK,12,12h,0.16065243630350884,0.2240909090909091,28.309257633322627,Chronos2-ZS
BE_BLOCK_OHT,24,24h,0.7158426820851387,0.7413829787234042,3.4449531984459156,Chronos2-ZS
BE_BLOCK_RO,24,24h,0.007343089366199595,0.010372340425531914,29.20508713612698,Chronos2-ZS
CRICKET_GROUND_OHT,24,24h,0.00876041615864011,0.008634751773049646,-1.455332925524052,NPTS
F_BLOCK,24,24h,0.36848560937541597,0.43445035460992903,15.183494393447894,Chronos2-ZS
GJBC_BLOCK_1_A1_BOYS,24,24h,0.07782898326767675,0.08143617021276597,4.4294653538652815,Chronos2-ZS
GJBC_BLOCK_1_A2_GIRLS,24,24h,0.0732540366576707,0.07804964539007092,6.144305599894871,Chronos2-ZS
GJBC_BLOCK_1_A3,24,24h,0.09871806556134359,0.105,5.982794703482291,Chronos2-ZS
GJBC_BLOCK_1_A4_RO,24,24h,0.004039280416971528,0.0040070921985815595,-0.8032812022983233,NPTS
GJBC_BLOCK_2_A1,24,24h,0.11780056795541277,0.15590425531914895,24.440440888373935,Chronos2-ZS
GJBC_LAW_BLOCK_3_A4_BOYS,24,24h,0.5939409305736528,0.632145390070922,6.043619094174346,Chronos2-ZS
GJBC_LAW_BLOCK_3__A1,24,24h,0.37538781821621503,0.39531194295900174,5.040101898680319,Chronos2-ZS
GJBC_LAW_BLOCK_3__A2,24,24h,0.1704784379698706,0.23700354609929075,28.069245892865236,Chronos2-ZS
GJBC_LAW_BLOCK_3__A3_GIRLS,24,24h,0.14454703821886516,0.17570921985815602,17.735086220544947,Chronos2-ZS
G_BLOCK,24,24h,0.34944220378043805,0.34569148936170213,-1.0849889378709856,NPTS
I&H_BLOCK,24,24h,0.3164233963910147,0.3139893617021276,-0.7751965466894335,NPTS
INFORMATION_CENTRE,24,24h,0.017632003845911185,0.017304964539007095,-1.889858289896586,NPTS
IT_BLOCK,24,24h,0.06232919397136421,0.06868794326241134,9.257446050982406,Chronos2-ZS
ME_WORKSHOP_BLOCK,24,24h,0.02640896702858996,0.027606382978723403,4.337460474471822,Chronos2-ZS
MM_BLOCK,24,24h,0.23676923800022043,0.23780141843971633,0.4340514225139358,Chronos2-ZS
MRD_BLOCK,24,24h,0.7403120932088675,0.8470035460992908,12.5963407569862,Chronos2-ZS
NBX,24,24h,0.35515430495488237,0.3468449197860962,-2.3957061772479356,NPTS
NEW_BLOCK,24,24h,0.035839806959984156,0.037960992907801416,5.587804178276201,Chronos2-ZS
NEW_BLOCK_RO,24,24h,0.0004689336296852929,0.0003900709219858156,-20.217530519320537,NPTS
TECH_PARK,24,24h,0.18035242630129164,0.22379432624113474,19.411528732428703,Chronos2-ZS
BE_BLOCK_OHT,48,48h,0.7311831607056669,0.7420983318700615,1.4708524053529013,Chronos2-ZS
BE_BLOCK_RO,48,48h,0.007610218277506863,0.010272168568920105,25.914199845467373,Chronos2-ZS
CRICKET_GROUND_OHT,48,48h,0.009023357339831325,0.008823529411764706,-2.264716518088357,NPTS
F_BLOCK,48,48h,0.37666664544064504,0.43637401229148376,13.682612889182806,Chronos2-ZS
GJBC_BLOCK_1_A1_BOYS,48,48h,0.08015466585245125,0.08101843722563652,1.0661417360836873,Chronos2-ZS
GJBC_BLOCK_1_A2_GIRLS,48,48h,0.07533726341610315,0.07783143107989465,3.2045763892369066,Chronos2-ZS
GJBC_BLOCK_1_A3,48,48h,0.10163544045690909,0.10536435469710273,3.5390661774690098,Chronos2-ZS
GJBC_BLOCK_1_A4_RO,48,48h,0.004019984420330883,0.00398595258999122,-0.8537941576404395,NPTS
GJBC_BLOCK_2_A1,48,48h,0.11917456696657808,0.15486818980667838,23.04774330006477,Chronos2-ZS
GJBC_LAW_BLOCK_3_A4_BOYS,48,48h,0.5980457195930045,0.6332923617208077,5.565619334493417,Chronos2-ZS
GJBC_LAW_BLOCK_3__A1,48,48h,0.3870406430244236,0.4062488967343336,4.728198369107513,Chronos2-ZS
