horizon,horizon_label,model,n,zero_fraction,miss_below_p10,miss_above_p90,coverage,p10_above_zero_frac,median_p10,below_misses_that_are_zero,coverage_if_p10_clamped_to_zero
6,6h,Chronos2-ZS,3405,0.24287812041116005,0.16417033773861966,0.11512481644640235,0.720704845814978,0.7958883994126285,0.04502160847187042,0.7155635062611807,0.8848751835535976
6,6h,NPTS,3405,0.24287812041116005,0.05638766519823789,0.09368575624082232,0.8499265785609398,0.5160058737151249,0.01,0.4427083333333333,0.9063142437591777
12,12h,Chronos2-ZS,6861,0.24034397318175194,0.17373560705436525,0.11252004081037749,0.7137443521352572,0.7975513773502405,0.043873488903045654,0.6820469798657718,0.8874799591896225
12,12h,NPTS,6861,0.24034397318175194,0.05582276636058883,0.09852791138318029,0.8456493222562309,0.5061944322984988,0.01,0.391644908616188,0.9014720886168197
24,24h,Chronos2-ZS,13530,0.23651145602365115,0.1662971175166297,0.11160384331116038,0.7220990391722099,0.7930524759793053,0.0481920950114727,0.6666666666666666,0.8883961566888396
24,24h,NPTS,13530,0.23651145602365115,0.0532889874353289,0.10443458980044346,0.8422764227642277,0.5083518107908351,0.01,0.37031900138696255,0.8955654101995565
48,48h,Chronos2-ZS,27323,0.23760202027595798,0.1615488782344545,0.10961461040149324,0.7288365113640523,0.7858946674962486,0.0459439754486084,0.6622111463525148,0.8903853895985068
48,48h,NPTS,27323,0.23760202027595798,0.054240017567617024,0.10496651173004429,0.8407934707023387,0.5076309336456465,0.01,0.3798920377867746,0.8950334882699558
72,72h,Chronos2-ZS,41140,0.2381866796305299,0.1595770539620807,0.10816723383568304,0.7322557122022363,0.7820126397666505,0.04371559992432594,0.6615384615384615,0.891832766164317
72,72h,NPTS,41140,0.2381866796305299,0.05556635877491493,0.10512882839086048,0.8393048128342246,0.5085804569761789,0.01,0.3779527559055118,0.8948711716091395
168,168h,Chronos2-ZS,96405,0.23926144909496394,0.15171412271147763,0.1054820808049375,0.7428037964835849,0.7719620351641512,0.041618555784225464,0.6509640366470668,0.8945179191950625
168,168h,NPTS,96405,0.23926144909496394,0.05735179710595924,0.1063119132825061,0.8363362896115347,0.5083450028525491,0.01,0.36824018809911374,0.8936880867174939
