model,horizon,n_tanks,rows,mae,rmse,mase,rmsse,vw_mae,vw_rmse,p10_p90_coverage
Chronos2-COV-LEAN,6,24,3405,0.19706561700304012,0.3974684551190866,0.6026672568188272,0.491704079776834,0.39080181538142345,0.7212520457646078,0.7033773861967695
Chronos2-COV-LEAN,12,24,6861,0.20161763341528113,0.4176040553887184,0.6303708318491422,0.5257354436002079,0.40138274283232533,0.7531702102405049,0.7058737793324589
Chronos2-COV-LEAN,24,24,13530,0.2102493425142098,0.46308523226886966,0.6562459433163864,0.5676872100584411,0.4235065404225561,0.8408525916406604,0.7178861788617886
Chronos2-COV-LEAN,48,24,27323,0.21510438770068396,0.46835635235924983,0.66538403626639,0.5720519276122465,0.4366541612956239,0.8537020293050136,0.7264575632251217
Chronos2-COV-LEAN,72,24,41140,0.2161201591167936,0.46694874186921825,0.6657022363279205,0.5717391675999733,0.439938044244895,0.8498426716041045,0.7366553232863393
Chronos2-COV-LEAN,168,24,96405,0.2183541181062275,0.46229298659364854,0.6640437404718769,0.5647874852655826,0.44487091100441833,0.8455011527484265,0.749483947928012
Chronos2-COV-XL,6,24,3405,0.19727069834272906,0.3971685591557699,0.6001956012389387,0.4909016001162927,0.39133292019959504,0.7213228979182926,0.7403817914831131
Chronos2-COV-XL,12,24,6861,0.20169575203995452,0.4174615178994155,0.6280869562504847,0.5250236692438467,0.40203936325707207,0.7543111307731044,0.739833843463052
Chronos2-COV-XL,24,24,13530,0.21043499538973734,0.46196939453960323,0.6550124166937343,0.5668097554659751,0.4244035318112416,0.8398207731283593,0.7572062084257206
Chronos2-COV-XL,48,24,27323,0.2147431789741363,0.46712478192811985,0.6632686297799673,0.5710224336179298,0.43598180548531024,0.8513835800771145,0.7567983017970208
Chronos2-COV-XL,72,24,41140,0.21586891328639712,0.46567249545559,0.6641433465344421,0.570747728857825,0.43945737694927645,0.8477036515250091,0.7718765192027224
Chronos2-COV-XL,168,24,96405,0.21806495207486445,0.46104748607418206,0.6628285494027311,0.5636253402944158,0.44444479210816884,0.8433565822695271,0.7751050256729423
Chronos2-COV,6,24,3405,0.1972596265435308,0.39656172256145394,0.6017861210987464,0.49089374896823057,0.3915172167248977,0.7193813963913491,0.7368575624082232
Chronos2-COV,12,24,6861,0.2017573189909907,0.41664793665838534,0.6292342010187465,0.5246484040350939,0.4027913451481843,0.7522153129116039,0.7335665354904533
Chronos2-COV,24,24,13530,0.21051203797565962,0.4624273027355155,0.6557967354557676,0.5671145194327587,0.42489554401094204,0.840206019214844,0.7490761271249076
Chronos2-COV,48,24,27323,0.21510591227057882,0.4677328399219813,0.664257217847947,0.5712792174778359,0.43733811181686766,0.8529298050720934,0.7532847783918311
Chronos2-COV,72,24,41140,0.21617831253091047,0.46628722029194364,0.6647538344714439,0.5710611564894209,0.4407293664639093,0.8491539534135433,0.7686436558094312
Chronos2-COV,168,24,96405,0.21834368965483156,0.4616841322323319,0.6632232062989839,0.5640761610796643,0.4453182576939345,0.8447929286300844,0.775986722680359
