model,horizon,volume_bias_pct_all_tanks,volume_bias_pct_healthy_tanks
Chronos2-COV,6,-9.715140813832404,-5.648438054464436
Chronos2-COV,12,-10.533581216961005,-7.600569914410883
Chronos2-COV,24,-13.753972988084438,-11.034109338974929
Chronos2-COV,48,-14.106344235495545,-11.419655388001557
Chronos2-COV,72,-14.110983529166994,-11.489925489325405
Chronos2-COV,168,-14.019467985366992,-11.332108844519224
Chronos2-COV-LEAN,6,-9.826580562089756,-5.836432143290493
Chronos2-COV-LEAN,12,-10.584667904355468,-7.706401437510823
Chronos2-COV-LEAN,24,-13.55292436152486,-10.874932828716245
Chronos2-COV-LEAN,48,-13.878752515087179,-11.221688608505767
Chronos2-COV-LEAN,72,-13.785894787225082,-11.199823570513542
Chronos2-COV-LEAN,168,-13.638166273537555,-10.981720757360991
Chronos2-COV-XL,6,-10.038180722417128,-5.973536397647851
Chronos2-COV-XL,12,-10.641399633264886,-7.704036390418603
Chronos2-COV-XL,24,-13.8843548810411,-11.156116670529322
Chronos2-COV-XL,48,-14.10035222866874,-11.39959395679426
Chronos2-COV-XL,72,-14.174321072053493,-11.541987014034643
Chronos2-COV-XL,168,-14.097524089413264,-11.40286168892114
Chronos2-ZS,6,-9.29021772332073,-5.409582621090997
Chronos2-ZS,12,-9.41456190430922,-6.579455298569212
Chronos2-ZS,24,-12.15414255927196,-9.532127075570578
Chronos2-ZS,48,-12.728029995016099,-10.11494548098964
Chronos2-ZS,72,-12.68498568585052,-10.161502082083764
Chronos2-ZS,168,-12.78672138363502,-10.214426620932146
NPTS,6,-4.216668361639372,0.4776233462291637
NPTS,12,-5.9829006470784725,-2.5498160967486694
NPTS,24,-9.866596984949037,-6.749224014538669
NPTS,48,-9.848906892453002,-6.753677430031763
NPTS,72,-9.412438887191145,-6.405386035077538
NPTS,168,-8.632712353167507,-5.523658201538088
SeasonalNaive,6,2.054942540425109,1.061006147694782
SeasonalNaive,12,-0.5465674875063667,-1.4182565773138736
SeasonalNaive,24,0.3969730991095848,-0.5628910082182087
SeasonalNaive,48,0.4337245048706783,-0.5854290388079456
SeasonalNaive,72,0.90178243915314,-0.23570004185625476
SeasonalNaive,168,1.866636979520197,0.7750496754885354
