model,hour,mae,bias,mean_actual
Chronos2-COV,0,0.11153546061821948,0.04505390840162161,0.3108680555555556
Chronos2-COV,1,0.10131303052753436,0.036127562938790006,0.28953125
Chronos2-COV,2,0.10281761175867965,0.03606521775398708,0.27875
Chronos2-COV,3,0.0907514200321384,0.01923744538708787,0.2494270833333333
Chronos2-COV,4,0.09432654007511397,0.021891205166098694,0.25277777777777777
Chronos2-COV,5,0.11670931622802325,0.035599902219797114,0.28914930555555557
Chronos2-COV,6,0.13796210949481771,0.03522766670949851,0.36744791666666665
Chronos2-COV,7,0.20576968757821304,0.04425153900569259,0.5377951388888889
Chronos2-COV,8,0.2520355671607872,0.02175752266438293,0.7403645833333333
Chronos2-COV,9,0.35747616879687283,0.1066849133579914,0.7946527777777779
Chronos2-COV,10,0.36654911338907065,0.08019326356903346,0.7628993055555555
Chronos2-COV,11,0.35602309863247983,0.11678209901624036,0.7039930555555556
Chronos2-COV,12,0.31556145656549534,0.06545050694529182,0.6284027777777778
Chronos2-COV,13,0.3056214689961533,0.0650153612666476,0.6315970961887477
Chronos2-COV,14,0.351653113585361,0.14247060333480874,0.6815426497277677
Chronos2-COV,15,0.36785937432428323,0.16086605624343522,0.6957894736842105
Chronos2-COV,16,0.30758794545894913,0.14515296357034696,0.6878079710144928
Chronos2-COV,17,0.2826611395639644,0.15098117679775105,0.6169927536231884
Chronos2-COV,18,0.13523649292044126,0.052832121313682444,0.41581521739130434
Chronos2-COV,19,0.16864084119599335,0.05302973712087133,0.38956521739130434
Chronos2-COV,20,0.14306839846904065,0.04807300836788896,0.34607985480943737
Chronos2-COV,21,0.11359085234917764,0.03432887605350455,0.3270235934664247
Chronos2-COV,22,0.1443301749409687,0.050115133906825954,0.34407969639468694
Chronos2-COV,23,0.12454627626927307,0.047103921877248954,0.3327355072463768
Chronos2-COV-LEAN,0,0.11080379711557826,0.0450410008069351,0.3108680555555556
Chronos2-COV-LEAN,1,0.100298111243032,0.03586525175834039,0.28953125
Chronos2-COV-LEAN,2,0.1019752030500725,0.03579089834693554,0.27875
Chronos2-COV-LEAN,3,0.09014209576905867,0.018692234170812297,0.2494270833333333
Chronos2-COV-LEAN,4,0.09392136364845809,0.021373866338702405,0.25277777777777777
Chronos2-COV-LEAN,5,0.11596444240821357,0.035655639224609736,0.28914930555555557
Chronos2-COV-LEAN,6,0.1363501613454759,0.03536715169710887,0.36744791666666665
Chronos2-COV-LEAN,7,0.2038381362004212,0.04359049964373601,0.5377951388888889
Chronos2-COV-LEAN,8,0.24922062229209083,0.018258343996906963,0.7403645833333333
Chronos2-COV-LEAN,9,0.3573793972296698,0.10399701738469755,0.7946527777777779
Chronos2-COV-LEAN,10,0.3687025954013168,0.07807928668789019,0.7628993055555555
Chronos2-COV-LEAN,11,0.35666926178836245,0.11417491047298729,0.7039930555555556
Chronos2-COV-LEAN,12,0.3164476884418319,0.06355987684710675,0.6284027777777778
Chronos2-COV-LEAN,13,0.3056875642710036,0.06180113120558088,0.6315970961887477
Chronos2-COV-LEAN,14,0.3522020774698916,0.14104223356322773,0.6815426497277677
Chronos2-COV-LEAN,15,0.36854477764406884,0.16003875008256457,0.6957894736842105
Chronos2-COV-LEAN,16,0.30952814339431495,0.14410259024075578,0.6878079710144928
Chronos2-COV-LEAN,17,0.28194801871250835,0.15045477334725244,0.6169927536231884
Chronos2-COV-LEAN,18,0.13496299121875155,0.05297329110049127,0.41581521739130434
Chronos2-COV-LEAN,19,0.16843120353132743,0.0528833852486307,0.38956521739130434
Chronos2-COV-LEAN,20,0.14398678064668727,0.0466760164758439,0.34607985480943737
Chronos2-COV-LEAN,21,0.11296095117026544,0.03406642572292568,0.3270235934664247
Chronos2-COV-LEAN,22,0.14357989545960592,0.050056852795023726,0.34407969639468694
Chronos2-COV-LEAN,23,0.1239142973493216,0.04740755465428726,0.3327355072463768
Chronos2-COV-XL,0,0.11176064638742093,0.045672562014416246,0.3108680555555556
Chronos2-COV-XL,1,0.10129650026631579,0.03651206961504512,0.28953125
