model,step,mae
Chronos2-COV,1,0.1832657065320561
Chronos2-COV,2,0.2307249837551364
Chronos2-COV,3,0.1994092323232447
Chronos2-COV,4,0.1839995818714854
Chronos2-COV,5,0.19428405063456816
Chronos2-COV,6,0.186941950983627
Chronos2-COV,7,0.1969112666633656
Chronos2-COV,8,0.20567740623474998
Chronos2-COV,9,0.22377772644505767
Chronos2-COV,10,0.18619038388633877
Chronos2-COV,11,0.2100747428780111
Chronos2-COV,12,0.21198089315519206
Chronos2-COV,13,0.19744062043191662
Chronos2-COV,14,0.24905620111756838
Chronos2-COV,15,0.24813195848735423
Chronos2-COV,16,0.2067747692893634
Chronos2-COV,17,0.22954719961599354
Chronos2-COV,18,0.22684613805027187
Chronos2-COV,19,0.2706970378751546
Chronos2-COV,20,0.23767513733569354
Chronos2-COV,21,0.17559624054388037
Chronos2-COV,22,0.1951269828803337
Chronos2-COV,23,0.18785108350080432
Chronos2-COV,24,0.21324875985346042
Chronos2-COV,25,0.2461585416769663
Chronos2-COV,26,0.21610035437425218
Chronos2-COV,27,0.19742258494627135
Chronos2-COV,28,0.2060765441868616
Chronos2-COV,29,0.20010703669734825
Chronos2-COV,30,0.21213239527245606
Chronos2-COV,31,0.2176900419411201
Chronos2-COV,32,0.21344806758371204
Chronos2-COV,33,0.1882039474447245
Chronos2-COV,34,0.21362698410749645
Chronos2-COV,35,0.2153624240364257
Chronos2-COV,36,0.203710963773103
Chronos2-COV,37,0.24346303856463136
Chronos2-COV,38,0.2576230135225948
Chronos2-COV,39,0.21383294476823114
Chronos2-COV,40,0.24484813068929523
Chronos2-COV,41,0.24129800487371947
Chronos2-COV,42,0.2703343165419048
Chronos2-COV,43,0.23587685360326635
Chronos2-COV,44,0.175397417507515
Chronos2-COV,45,0.19426062822707968
Chronos2-COV,46,0.19263688909781532
Chronos2-COV,47,0.21709537031856596
Chronos2-COV,48,0.25105419614043867
Chronos2-COV,49,0.21800554083269766
Chronos2-COV,50,0.20568952591059647
Chronos2-COV,51,0.21103592497608828
Chronos2-COV,52,0.20517438745191321
Chronos2-COV,53,0.21400255911655322
Chronos2-COV,54,0.22060913481152966
Chronos2-COV,55,0.20602881704940146
Chronos2-COV,56,0.19768130555510854
Chronos2-COV,57,0.21782969862913484
Chronos2-COV,58,0.2057100534032563
Chronos2-COV,59,0.19539432810216467
Chronos2-COV,60,0.24489901769943875
Chronos2-COV,61,0.25535000027437493
Chronos2-COV,62,0.2103268580564731
Chronos2-COV,63,0.23887492785053632
Chronos2-COV,64,0.2402416980688253
Chronos2-COV,65,0.2769015365107286
Chronos2-COV,66,0.22537081888165814
Chronos2-COV,67,0.1789731006574574
Chronos2-COV,68,0.19967734450794675
Chronos2-COV,69,0.19729409744923368
Chronos2-COV,70,0.21522393794366101
Chronos2-COV,71,0.2504621917716375
Chronos2-COV,72,0.2128197609792753
Chronos2-COV,73,0.20245929501651908
Chronos2-COV,74,0.21348802426196634
Chronos2-COV,75,0.21395456030372853
Chronos2-COV,76,0.22208421093399616
Chronos2-COV,77,0.22337016940551419
Chronos2-COV,78,0.2046532653014381
Chronos2-COV,79,0.19484003062743996
Chronos2-COV,80,0.21807299288201545
Chronos2-COV,81,0.20688900885628148
Chronos2-COV,82,0.19743010230011554
Chronos2-COV,83,0.2366029208521488
Chronos2-COV,84,0.252750396929805
Chronos2-COV,85,0.19895845965510184
Chronos2-COV,86,0.25320331699340587
Chronos2-COV,87,0.2441207715842554
Chronos2-COV,88,0.28519680259463104
Chronos2-COV,89,0.21691180139901928
Chronos2-COV,90,0.17977463670351504
Chronos2-COV,91,0.20094950165033504
Chronos2-COV,92,0.19729576409173644
Chronos2-COV,93,0.20843463046902697
Chronos2-COV,94,0.2522030691282028
Chronos2-COV,95,0.21374627660313206
Chronos2-COV,96,0.208108430727057
Chronos2-COV,97,0.21438621768803215
Chronos2-COV,98,0.21060664398477857
Chronos2-COV,99,0.2159552535973085
Chronos2-COV,100,0.22310554784661185
Chronos2-COV,101,0.20697447091672075
Chronos2-COV,102,0.19286502622621304
Chronos2-COV,103,0.20371825657277642
Chronos2-COV,104,0.20731622334481573
Chronos2-COV,105,0.20036419850790682
Chronos2-COV,106,0.24950248683071552
Chronos2-COV,107,0.22826041246519
Chronos2-COV,108,0.19253795401179863
Chronos2-COV,109,0.25703684728791915
Chronos2-COV,110,0.24222414992545158
Chronos2-COV,111,0.2980982968238742
Chronos2-COV,112,0.22853718542064663
Chronos2-COV,113,0.17369430829233123
Chronos2-COV,114,0.2058096852117299
Chronos2-COV,115,0.19902726293402198
Chronos2-COV,116,0.20885244803325703
Chronos2-COV,117,0.25291562123345807
Chronos2-COV,118,0.21284634086275117
Chronos2-COV,119,0.20052399992543557
Chronos2-COV,120,0.21067663664426656
Chronos2-COV,121,0.20992237766549476
Chronos2-COV,122,0.21528752778435672
Chronos2-COV,123,0.2237806970931423
Chronos2-COV,124,0.20642215623245042
Chronos2-COV,125,0.1931931434953286
Chronos2-COV,126,0.20613710922648656
Chronos2-COV,127,0.20460474286116045
Chronos2-COV,128,0.20458758386243264
Chronos2-COV,129,0.25148710023574594
Chronos2-COV,130,0.222823314894053
Chronos2-COV,131,0.20144622626799294
Chronos2-COV,132,0.25837349880654886
Chronos2-COV,133,0.2471045855073276
Chronos2-COV,134,0.29057554077559167
Chronos2-COV,135,0.2466532425413394
Chronos2-COV,136,0.19001002804643433
Chronos2-COV,137,0.22505608389025714
Chronos2-COV,138,0.20080394818618003
Chronos2-COV,139,0.21215672242506523
Chronos2-COV,140,0.2628991562691267
Chronos2-COV,141,0.21500263300403377
Chronos2-COV,142,0.2021890557130839
Chronos2-COV,143,0.21044016633196128
Chronos2-COV,144,0.20474935204285077
Chronos2-COV,145,0.21211969043415188
Chronos2-COV,146,0.22054944810003993
Chronos2-COV,147,0.21015356939106924
Chronos2-COV,148,0.193817799332719
Chronos2-COV,149,0.20538187488964266
Chronos2-COV,150,0.20872672190548555
Chronos2-COV,151,0.1998328478932106
Chronos2-COV,152,0.25475633496952166
Chronos2-COV,153,0.22666330917122346
Chronos2-COV,154,0.20520788228969145
Chronos2-COV,155,0.2636050182305189
Chronos2-COV,156,0.24294713341650803
Chronos2-COV,157,0.29107959118803084
Chronos2-COV,158,0.2459662257567291
Chronos2-COV,159,0.19366971746315045
Chronos2-COV,160,0.2244767314608492
Chronos2-COV,161,0.20814623694623943
Chronos2-COV,162,0.20581007295116352
Chronos2-COV,163,0.25849095169159736
Chronos2-COV,164,0.2151766477979739
Chronos2-COV,165,0.19961916988873046
Chronos2-COV,166,0.20915583735137935
Chronos2-COV,167,0.203427694451898
Chronos2-COV,168,0.22224010584847242
Chronos2-COV-LEAN,1,0.1834175688475902
Chronos2-COV-LEAN,2,0.23080199329849782
Chronos2-COV-LEAN,3,0.2005451549335218
Chronos2-COV-LEAN,4,0.18433522753820392
Chronos2-COV-LEAN,5,0.1938176733647878
Chronos2-COV-LEAN,6,0.18658782421142348
Chronos2-COV-LEAN,7,0.19779417421306988
Chronos2-COV-LEAN,8,0.20554883311568928
Chronos2-COV-LEAN,9,0.22417921883072672
Chronos2-COV-LEAN,10,0.1865683366558652
Chronos2-COV-LEAN,11,0.2101102600910963
Chronos2-COV-LEAN,12,0.21238333674942017
Chronos2-COV-LEAN,13,0.19754814098315868
Chronos2-COV-LEAN,14,0.248709442041436
Chronos2-COV-LEAN,15,0.24862872664956293
Chronos2-COV-LEAN,16,0.20563631116963865
Chronos2-COV-LEAN,17,0.22844311559037137
Chronos2-COV-LEAN,18,0.22482424970637363
Chronos2-COV-LEAN,19,0.26817371139306223
Chronos2-COV-LEAN,20,0.23718386821296958
Chronos2-COV-LEAN,21,0.1753792168266696
Chronos2-COV-LEAN,22,0.19571243572274066
Chronos2-COV-LEAN,23,0.18858777592204995
Chronos2-COV-LEAN,24,0.21456351044135627
Chronos2-COV-LEAN,25,0.24694402521569786
Chronos2-COV-LEAN,26,0.2167143213531219
Chronos2-COV-LEAN,27,0.1958405265425251
Chronos2-COV-LEAN,28,0.20587566597084314
Chronos2-COV-LEAN,29,0.1991648540466619
Chronos2-COV-LEAN,30,0.21324800289799895
Chronos2-COV-LEAN,31,0.2176025948495549
Chronos2-COV-LEAN,32,0.2128759322928454
Chronos2-COV-LEAN,33,0.18800436435872447
Chronos2-COV-LEAN,34,0.21378502549370346
Chronos2-COV-LEAN,35,0.21630606887416637
Chronos2-COV-LEAN,36,0.20414119571832595
Chronos2-COV-LEAN,37,0.24276043291760288
Chronos2-COV-LEAN,38,0.25688828983445594
Chronos2-COV-LEAN,39,0.21287215781873076
Chronos2-COV-LEAN,40,0.24444930160251616
Chronos2-COV-LEAN,41,0.23970533857128937
Chronos2-COV-LEAN,42,0.2696513390762225
Chronos2-COV-LEAN,43,0.23686765109094915
Chronos2-COV-LEAN,44,0.1756836575411341
Chronos2-COV-LEAN,45,0.1939654306189643
Chronos2-COV-LEAN,46,0.19232021566607138
Chronos2-COV-LEAN,47,0.2175681339979484
Chronos2-COV-LEAN,48,0.2514288283979719
Chronos2-COV-LEAN,49,0.21814366973407434
Chronos2-COV-LEAN,50,0.20610248789858152
Chronos2-COV-LEAN,51,0.2113868268718943
Chronos2-COV-LEAN,52,0.20457965312145812
Chronos2-COV-LEAN,53,0.21558374296493438
Chronos2-COV-LEAN,54,0.22057686756172593
Chronos2-COV-LEAN,55,0.20571731696277612
Chronos2-COV-LEAN,56,0.19829582424406705
Chronos2-COV-LEAN,57,0.21795566235460784
Chronos2-COV-LEAN,58,0.2070725026540539
Chronos2-COV-LEAN,59,0.1963566275653688
Chronos2-COV-LEAN,60,0.24538049659547445
Chronos2-COV-LEAN,61,0.2552217127471764
Chronos2-COV-LEAN,62,0.20988316852536323
Chronos2-COV-LEAN,63,0.23894999748161755
Chronos2-COV-LEAN,64,0.2396504642647455
Chronos2-COV-LEAN,65,0.274792678719249
Chronos2-COV-LEAN,66,0.2259248274757284
Chronos2-COV-LEAN,67,0.1787389395219962
Chronos2-COV-LEAN,68,0.1991956859483748
Chronos2-COV-LEAN,69,0.1972405437659027
Chronos2-COV-LEAN,70,0.2155398864603194
Chronos2-COV-LEAN,71,0.2505871292806518
Chronos2-COV-LEAN,72,0.21241564837136442
Chronos2-COV-LEAN,73,0.20147349783922747
Chronos2-COV-LEAN,74,0.2136036001631423
Chronos2-COV-LEAN,75,0.214326181410249
Chronos2-COV-LEAN,76,0.2228409629373386
Chronos2-COV-LEAN,77,0.22369486548013004
Chronos2-COV-LEAN,78,0.20431418179982253
Chronos2-COV-LEAN,79,0.1952038844011016
Chronos2-COV-LEAN,80,0.21866958204235643
Chronos2-COV-LEAN,81,0.20712585272895215
Chronos2-COV-LEAN,82,0.1978510809791947
Chronos2-COV-LEAN,83,0.23763315627742282
Chronos2-COV-LEAN,84,0.2529948090611449
Chronos2-COV-LEAN,85,0.1986721238061283
Chronos2-COV-LEAN,86,0.25268146115509205
Chronos2-COV-LEAN,87,0.24335657432897684
Chronos2-COV-LEAN,88,0.2843131805070233
Chronos2-COV-LEAN,89,0.21749341683767573
Chronos2-COV-LEAN,90,0.17935462322048842
Chronos2-COV-LEAN,91,0.2002635447813927
Chronos2-COV-LEAN,92,0.1968970851322879
Chronos2-COV-LEAN,93,0.20790283247265406
Chronos2-COV-LEAN,94,0.2519764701692798
Chronos2-COV-LEAN,95,0.2144420958462635
Chronos2-COV-LEAN,96,0.20832031037527257
Chronos2-COV-LEAN,97,0.21554520849479847
Chronos2-COV-LEAN,98,0.2101821070880386
Chronos2-COV-LEAN,99,0.21739603056298315
Chronos2-COV-LEAN,100,0.22339657231540005
Chronos2-COV-LEAN,101,0.2068024106455252
Chronos2-COV-LEAN,102,0.1926708257254278
Chronos2-COV-LEAN,103,0.20399815101965943
Chronos2-COV-LEAN,104,0.20764939250847722
Chronos2-COV-LEAN,105,0.20074388337953375
Chronos2-COV-LEAN,106,0.2497476327358163
Chronos2-COV-LEAN,107,0.22816954913953344
Chronos2-COV-LEAN,108,0.1916793364063819
Chronos2-COV-LEAN,109,0.256677910843282
Chronos2-COV-LEAN,110,0.2413777863140341
Chronos2-COV-LEAN,111,0.29626137927413865
Chronos2-COV-LEAN,112,0.228381996183069
Chronos2-COV-LEAN,113,0.17295333754474942
Chronos2-COV-LEAN,114,0.20530524396124986
Chronos2-COV-LEAN,115,0.19840910819681443
Chronos2-COV-LEAN,116,0.20923699747773047
Chronos2-COV-LEAN,117,0.2528008520256642
Chronos2-COV-LEAN,118,0.21314013325856243
Chronos2-COV-LEAN,119,0.20106024817221432
Chronos2-COV-LEAN,120,0.21088025391234247
Chronos2-COV-LEAN,121,0.2106132298500925
Chronos2-COV-LEAN,122,0.21682967084087673
Chronos2-COV-LEAN,123,0.22494539203226546
Chronos2-COV-LEAN,124,0.20685459247125737
Chronos2-COV-LEAN,125,0.19310560663103388
Chronos2-COV-LEAN,126,0.20692287563194744
Chronos2-COV-LEAN,127,0.20495837083781632
Chronos2-COV-LEAN,128,0.2052629836709942
Chronos2-COV-LEAN,129,0.25175387927542436
Chronos2-COV-LEAN,130,0.22299119667837658
Chronos2-COV-LEAN,131,0.20140194991821772
Chronos2-COV-LEAN,132,0.2584057902230577
Chronos2-COV-LEAN,133,0.2469994006800294
Chronos2-COV-LEAN,134,0.2898054730518116
Chronos2-COV-LEAN,135,0.24742000001663259
Chronos2-COV-LEAN,136,0.18963393754616947
Chronos2-COV-LEAN,137,0.22565657069994868
Chronos2-COV-LEAN,138,0.20096384330693146
Chronos2-COV-LEAN,139,0.21230242093040336
Chronos2-COV-LEAN,140,0.26378744593547
Chronos2-COV-LEAN,141,0.21549715697746757
Chronos2-COV-LEAN,142,0.20278846804176498
Chronos2-COV-LEAN,143,0.21079431420509986
Chronos2-COV-LEAN,144,0.20448456908594007
Chronos2-COV-LEAN,145,0.21163230863887292
Chronos2-COV-LEAN,146,0.22021277189156535
Chronos2-COV-LEAN,147,0.20987407541962766
Chronos2-COV-LEAN,148,0.1934992086049897
Chronos2-COV-LEAN,149,0.20455553462539683
Chronos2-COV-LEAN,150,0.20839397193215214
Chronos2-COV-LEAN,151,0.2003158163356905
Chronos2-COV-LEAN,152,0.25431624648284923
Chronos2-COV-LEAN,153,0.2261456339104229
Chronos2-COV-LEAN,154,0.2044338074884945
Chronos2-COV-LEAN,155,0.2628439649283731
Chronos2-COV-LEAN,156,0.24205229870915193
Chronos2-COV-LEAN,157,0.29006169058807346
Chronos2-COV-LEAN,158,0.24664978269655258
Chronos2-COV-LEAN,159,0.1933777409364429
Chronos2-COV-LEAN,160,0.22464303642327127
Chronos2-COV-LEAN,161,0.2080842172096119
Chronos2-COV-LEAN,162,0.2075281495567833
Chronos2-COV-LEAN,163,0.2597265081353665
Chronos2-COV-LEAN,164,0.21611800314209784
Chronos2-COV-LEAN,165,0.20014850927078692
Chronos2-COV-LEAN,166,0.2085254486637271
Chronos2-COV-LEAN,167,0.20281984805825937
Chronos2-COV-LEAN,168,0.22274135327716874
Chronos2-COV-XL,1,0.18393312567197953
Chronos2-COV-XL,2,0.22979817156395638
Chronos2-COV-XL,3,0.1977430103192819
Chronos2-COV-XL,4,0.18321996414555722
Chronos2-COV-XL,5,0.19513332871233072
Chronos2-COV-XL,6,0.18712795514452432
Chronos2-COV-XL,7,0.19685255345719066
Chronos2-COV-XL,8,0.20628446244902282
Chronos2-COV-XL,9,0.22371202616207786
Chronos2-COV-XL,10,0.1857011387589672
Chronos2-COV-XL,11,0.21057948392482406
Chronos2-COV-XL,12,0.21232807927317077
Chronos2-COV-XL,13,0.197820467901252
Chronos2-COV-XL,14,0.24974614942464543
Chronos2-COV-XL,15,0.24566880355719845
Chronos2-COV-XL,16,0.20563396664872846
Chronos2-COV-XL,17,0.22932775050910792
Chronos2-COV-XL,18,0.22669467321885547
Chronos2-COV-XL,19,0.27162507584465306
Chronos2-COV-XL,20,0.2379666345362067
Chronos2-COV-XL,21,0.17543413429133112
Chronos2-COV-XL,22,0.19482062870205147
Chronos2-COV-XL,23,0.18710139636028078
Chronos2-COV-XL,24,0.21267525823466712
Chronos2-COV-XL,25,0.2460173335353181
Chronos2-COV-XL,26,0.2159342517707531
Chronos2-COV-XL,27,0.19826290579778344
Chronos2-COV-XL,28,0.20589182606312323
