model,family,horizon,horizon_label,n_tanks,rows,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,coverage,width,neg_p10_pct,volume_bias_pct,rank_mase
Chronos2-COV-XL,foundation,6,6 h,24,3405,0.19727069834272906,0.3971685591557699,0.6001956012389388,0.4909016001162927,0.39133292019959504,0.7213228979182926,0.7403817914831131,0.5781174956403622,0.0,-10.038180722417128,1
Chronos2-ZS,foundation,6,6 h,24,3405,0.19741258850553622,0.3975839384598419,0.6017334793050494,0.490958563148663,0.39107373455541306,0.7225336915286316,0.720704845814978,0.5602388474512034,0.0,-9.29021772332073,2
Chronos2-COV,foundation,6,6 h,24,3405,0.1972596265435308,0.39656172256145394,0.6017861210987464,0.4908937489682306,0.39151721672489775,0.7193813963913492,0.7368575624082232,0.5655274271714418,0.0,-9.715140813832404,3
Chronos2-COV-LEAN,foundation,6,6 h,24,3405,0.19706561700304012,0.3974684551190866,0.6026672568188272,0.491704079776834,0.3908018153814235,0.7212520457646079,0.7033773861967695,0.5491996320963631,0.0,-9.826580562089756,4
NPTS,statistical,6,6 h,24,3405,0.23055244536764952,0.44198181427677846,0.6871318637389879,0.5493968435816757,0.4489204026187261,0.7865254349670974,0.8499265785609398,0.6755447870778267,0.0,-4.216668361639372,5
PatchTST-Tuned,trained deep,6,6 h,24,3405,0.23645542794465454,0.44485387741338095,0.7184777373725147,0.571503025130459,0.46451303817005196,0.8110714398810001,0.7844346549192364,0.6012368839226512,57.47430249632893,-22.037476925954135,6
PatchTST,trained deep,6,6 h,24,3405,0.25577967999686296,0.46385980768471713,0.7736143669747865,0.5979847327007524,0.49959813347384785,0.8398820376447836,0.7647577092511013,0.7151817212857372,68.45814977973568,-25.531388944242245,7
DynamicOptimizedTheta,statistical,6,6 h,24,3405,0.25964780312785846,0.4291681710877791,0.8963437616990797,0.5520770556596691,0.49058489289798674,0.7719300831205703,0.9215859030837005,1.4489208693082838,76.0352422907489,1.7433888723771191,8
Theta,statistical,6,6 h,24,3405,0.2595229362375338,0.4287142752896702,0.8964590767976413,0.5515140712028898,0.4902906996655773,0.7710971013369424,0.9209985315712188,1.447199457125063,75.80029368575623,1.6590249468098548,9
ETS,statistical,6,6 h,24,3405,0.2593861126526932,0.418392336112571,0.9096351684499516,0.5390332458076028,0.49501963706174373,0.7553179886198014,0.9145374449339208,1.222358382064391,70.39647577092512,5.987640570715061,10
SeasonalNaive,reference,6,6 h,24,3405,0.30951265747965007,0.5649063723280547,0.9806156959640969,0.7174482754916068,0.6036064605912418,1.021678774310371,0.9030837004405287,1.6808141868177426,80.23494860499267,2.054942540425109,11
Chronos2-COV-XL,foundation,12,12 h,24,6861,0.2016957520399545,0.4174615178994155,0.6280869562504847,0.5250236692438467,0.4020393632570721,0.7543111307731044,0.739833843463052,0.6149031800961696,0.0,-10.641399633264886,1
