model,horizon,tank,n,mae,mase,mean_actual,trust,horizon_label
Chronos2-COV-LEAN,6,BE_BLOCK_OHT,142,0.6430201609873436,0.6779545169102105,1.7737323943661971,healthy,6 h
Chronos2-COV-LEAN,6,BE_BLOCK_RO,142,0.005991355188085999,0.4540649585721771,0.009788732394366197,dead,6 h
Chronos2-COV-LEAN,6,CRICKET_GROUND_OHT,142,0.01375447427853942,0.24363032526399955,0.013380281690140846,degraded,6 h
Chronos2-COV-LEAN,6,F_BLOCK,142,0.27932097898402686,0.47898583868484584,0.687112676056338,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_BLOCK_1_A1_BOYS,142,0.060959065978375956,0.4589130062270829,0.15492957746478872,degraded,6 h
Chronos2-COV-LEAN,6,GJBC_BLOCK_1_A2_GIRLS,142,0.05210020966093305,0.3826764126439211,0.15971830985915492,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_BLOCK_1_A3,142,0.08905272128086694,0.5285405016999529,0.18105633802816903,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_BLOCK_1_A4_RO,142,0.006104093278745111,0.10236059890936539,0.006056338028169014,degraded,6 h
Chronos2-COV-LEAN,6,GJBC_BLOCK_2_A1,142,0.11818392912686711,0.5673648743974689,0.42133802816901406,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_LAW_BLOCK_3_A4_BOYS,142,0.5641022245648881,0.6815414667538701,1.1424647887323942,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_LAW_BLOCK_3__A1,139,0.269762855202174,1.1034906746135507,0.5150359712230216,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_LAW_BLOCK_3__A2,142,0.1894971170727636,0.4445525171116516,0.3630985915492958,healthy,6 h
Chronos2-COV-LEAN,6,GJBC_LAW_BLOCK_3__A3_GIRLS,142,0.1418049486841954,0.5561457156154168,0.3047887323943662,healthy,6 h
Chronos2-COV-LEAN,6,G_BLOCK,142,0.34218593686399323,0.6775721070024041,0.9742957746478873,healthy,6 h
Chronos2-COV-LEAN,6,I&H_BLOCK,142,0.42999382994124585,1.1328199773569523,0.43302816901408453,degraded,6 h
Chronos2-COV-LEAN,6,INFORMATION_CENTRE,142,0.01439847617449475,1.6645295565144018,0.014084507042253521,dead,6 h
Chronos2-COV-LEAN,6,IT_BLOCK,142,0.06521693394532506,1.112249313445622,0.09190140845070423,degraded,6 h
Chronos2-COV-LEAN,6,ME_WORKSHOP_BLOCK,142,0.025666637726023164,0.15497879344160523,0.03492957746478873,degraded,6 h
Chronos2-COV-LEAN,6,MM_BLOCK,142,0.26055105283226765,0.5891564305819723,1.0646478873239438,healthy,6 h
Chronos2-COV-LEAN,6,MRD_BLOCK,142,0.6349874687194824,0.5272653990001166,1.3928873239436619,healthy,6 h
Chronos2-COV-LEAN,6,NBX,142,0.3457479871410719,0.8150185472531251,0.7847887323943662,healthy,6 h
Chronos2-COV-LEAN,6,NEW_BLOCK,142,0.03336616044942762,0.482804755959049,0.17204225352112676,healthy,6 h
Chronos2-COV-LEAN,6,NEW_BLOCK_RO,142,0.0004218068011400198,0.2089625915289671,0.00028169014084507044,dead,6 h
Chronos2-COV-LEAN,6,TECH_PARK,142,0.14338438319068558,0.4184352841641236,0.39492957746478874,healthy,6 h
Chronos2-COV-LEAN,12,BE_BLOCK_OHT,286,0.671793472841903,0.7084572462235205,1.8353846153846152,healthy,12 h
Chronos2-COV-LEAN,12,BE_BLOCK_RO,286,0.007122436624567408,0.5402043612914267,0.010944055944055944,dead,12 h
Chronos2-COV-LEAN,12,CRICKET_GROUND_OHT,286,0.011231390062224615,0.19905879624515674,0.010769230769230769,degraded,12 h
