base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,Chronos2-COV-XL,foundation,6,6 h,MASE,24,0.596173475223719,0.5947290594891828,0.001444415734536273,-0.242869540589944,-1.2459488696020886,0.6900807971924341,0.6274,0.4813018094875614,0.6348494659012616,False,False,10
Chronos2-ZS,Chronos2-COV-XL,foundation,6,6 h,MAE,24,0.1958597924489299,0.19576210230477867,9.76901441511827e-05,-0.04990248010265571,-1.7498913185988587,1.6307452811175729,0.936,0.057195699731179814,0.9548833012446156,False,False,12
Chronos2-ZS,Chronos2-COV-XL,foundation,12,12 h,MASE,24,0.627832870455817,0.6266449989190307,0.001187871536786356,-0.1895605229173531,-1.5226087415346974,0.9702071666379614,0.8072,0.2952074347608411,0.7704838907961864,False,False,13
Chronos2-ZS,Chronos2-COV-XL,foundation,12,12 h,MAE,24,0.20245644476148775,0.2013174293716606,0.001139015389827206,-0.5657808136047782,-2.525631792931127,1.3422914903199918,0.588,0.5601147811165025,0.5808162739633027,False,False,11
Chronos2-ZS,Chronos2-COV-XL,foundation,24,1 d,MASE,24,0.6563016477223401,0.6564723787979299,-0.00017073107558973621,0.026007350972231735,-0.876541405786657,0.8226536500761985,0.893,-0.06273604015362085,0.9505187248485825,False,False,13
Chronos2-ZS,Chronos2-COV-XL,foundation,24,1 d,MAE,24,0.21110794348326048,0.21014815081978133,0.0009597926634791597,-0.4567219172450668,-1.7783325124673617,0.6623373111843852,0.4842,0.7862100839722723,0.4397700081203495,False,False,10
Chronos2-ZS,Chronos2-COV-XL,foundation,48,2 d,MASE,24,0.6668431302730689,0.6647052774663015,0.002137852806767158,-0.3216241662645052,-0.9411278406125791,0.2608696122306009,0.2986,0.8177591418787378,0.42188597293929764,False,False,10
Chronos2-ZS,Chronos2-COV-XL,foundation,48,2 d,MAE,24,0.21628921618847488,0.21496055882857104,0.0013286573599038398,-0.6180935549964918,-1.3513208055844086,0.09156242201477437,0.0928,1.3630459111648978,0.18606436953198036,False,False,8
Chronos2-ZS,Chronos2-COV-XL,foundation,72,3 d,MASE,24,0.6670011520667843,0.6648790306029742,0.002122121463810097,-0.3191740701892132,-0.8907147828478772,0.23525207041477983,0.2662,0.6072892024631866,0.5496081569560707,False,False,9
Chronos2-ZS,Chronos2-COV-XL,foundation,72,3 d,MAE,24,0.2174327787558811,0.21593520719779472,0.0014975715580864042,-0.6935282011305558,-1.3380290169784632,-0.0014848543040320557,0.0492,1.3351683734467277,0.19488666268333144,True,False,5
