model,tank,trust,mean_actual,mae,ref_mae,skill
Chronos2-COV-LEAN,BE_BLOCK_OHT,healthy,1.9401241134751774,0.7117061311556092,1.0221631205673758,0.3037254848711819
Chronos2-COV-LEAN,BE_BLOCK_RO,dead,0.01148936170212766,0.007758001103065908,0.011631205673758867,0.3330011246754312
Chronos2-COV-LEAN,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.008877819136498457,0.01620567375886525,0.4521783377477976
Chronos2-COV-LEAN,F_BLOCK,healthy,0.7098226950354609,0.3663639945447022,0.6092021276595744,0.3986166858080501
Chronos2-COV-LEAN,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.077774394173043,0.10400709219858156,0.25222028105018335
Chronos2-COV-LEAN,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.07370566698623464,0.1023936170212766,0.28017322631625396
Chronos2-COV-LEAN,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.09955027640499967,0.13134751773049644,0.2420848286660392
Chronos2-COV-LEAN,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.004039080759224727,0.005602836879432625,0.2791007758852071
Chronos2-COV-LEAN,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.11804991804221844,0.20960992907801418,0.4368114212839519
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.5786907097253393,0.9025886524822695,0.35885443703081876
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.37348276467246805,0.5237433155080213,0.28689731474625757
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.17562696870548505,0.2426595744680851,0.27624133896029823
Chronos2-COV-LEAN,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.14622983294175873,0.18388297872340426,0.20476689056839337
Chronos2-COV-LEAN,G_BLOCK,healthy,1.0315248226950353,0.34360177598523756,0.5320390070921985,0.3541793526321392
Chronos2-COV-LEAN,I&H_BLOCK,degraded,0.314113475177305,0.3154971211250369,0.5689007092198581,0.44542673965430146
Chronos2-COV-LEAN,INFORMATION_CENTRE,dead,0.01730496453900709,0.01765535271052826,0.03664893617021276,0.5182574296691853
Chronos2-COV-LEAN,IT_BLOCK,degraded,0.09443262411347518,0.06384505637029701,0.09551418439716311,0.33156465949791125
Chronos2-COV-LEAN,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.02655774377814844,0.0376241134751773,0.29412971296532886
Chronos2-COV-LEAN,MM_BLOCK,healthy,1.1443617021276595,0.23735087212095868,0.32232269503546096,0.2636234563165152
Chronos2-COV-LEAN,MRD_BLOCK,healthy,1.388758865248227,0.736047615704807,1.0859397163120568,0.32220214009255776
Chronos2-COV-LEAN,NBX,healthy,0.8031729055258466,0.349578699759621,0.4968805704099822,0.2964532715151663
Chronos2-COV-LEAN,NEW_BLOCK,healthy,0.1748936170212766,0.035322030802250756,0.05079787234042553,0.30465530986145106
Chronos2-COV-LEAN,NEW_BLOCK_RO,dead,0.0003900709219858156,0.0004901979971038845,0.0006205673758865249,0.21008094180974035
Chronos2-COV-LEAN,TECH_PARK,healthy,0.40037234042553194,0.17818219563639756,0.3348581560283688,0.467887544536015
Chronos2-COV-XL,BE_BLOCK_OHT,healthy,1.9401241134751774,0.7132452180115043,1.0221631205673758,0.3022197693694909
Chronos2-COV-XL,BE_BLOCK_RO,dead,0.01148936170212766,0.00783223675167624,0.011631205673758867,0.32661866952051855
Chronos2-COV-XL,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.008782792392233056,0.01620567375886525,0.4580421324705204
Chronos2-COV-XL,F_BLOCK,healthy,0.7098226950354609,0.36411269521036893,0.6092021276595744,0.40231217410678977
Chronos2-COV-XL,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.07752087333523636,0.10400709219858156,0.25465781518797637
Chronos2-COV-XL,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.07401619006555976,0.1023936170212766,0.2771405853337541
Chronos2-COV-XL,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.09825621023298578,0.13134751773049644,0.25193706032122043
Chronos2-COV-XL,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.004030817366231577,0.005602836879432625,0.2805756346346173
Chronos2-COV-XL,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.11824038073526205,0.20960992907801418,0.43590276827366103
Chronos2-COV-XL,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.5843954079286426,0.9025886524822695,0.3525340626414284
Chronos2-COV-XL,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.371828896318315,0.5237433155080213,0.29005509892255554
Chronos2-COV-XL,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.1750035196965468,0.2426595744680851,0.27881057205281023
Chronos2-COV-XL,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.14837360788427348,0.18388297872340426,0.19310852524606847
Chronos2-COV-XL,G_BLOCK,healthy,1.0315248226950353,0.3485379506552473,0.5320390070921985,0.34490150908268247
Chronos2-COV-XL,I&H_BLOCK,degraded,0.314113475177305,0.31437597121858424,0.5689007092198581,0.44739747002654895
Chronos2-COV-XL,INFORMATION_CENTRE,dead,0.01730496453900709,0.01761829712160645,0.03664893617021276,0.5192685255642941
Chronos2-COV-XL,IT_BLOCK,degraded,0.09443262411347518,0.06329048471604573,0.09551418439716311,0.3373708301494376
Chronos2-COV-XL,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.026582892806341886,0.0376241134751773,0.29346128450627595
Chronos2-COV-XL,MM_BLOCK,healthy,1.1443617021276595,0.23742966966003393,0.32232269503546096,0.2633789884577856
Chronos2-COV-XL,MRD_BLOCK,healthy,1.388758865248227,0.7341628942295169,1.0859397163120568,0.32393770740534644
Chronos2-COV-XL,NBX,healthy,0.8031729055258466,0.3514910843750585,0.4968805704099822,0.29260449028015134
Chronos2-COV-XL,NEW_BLOCK,healthy,0.1748936170212766,0.03590435240919708,0.05079787234042553,0.2931918059760156
Chronos2-COV-XL,NEW_BLOCK_RO,dead,0.0003900709219858156,0.0004355678779522208,0.0006205673758865249,0.2981134766712785
Chronos2-COV-XL,TECH_PARK,healthy,0.40037234042553194,0.1749718783552765,0.3348581560283688,0.4774746405147944
Chronos2-COV,BE_BLOCK_OHT,healthy,1.9401241134751774,0.7193086964061074,1.0221631205673758,0.2962877627527414
Chronos2-COV,BE_BLOCK_RO,dead,0.01148936170212766,0.007753883293823253,0.011631205673758867,0.3333551558359278
Chronos2-COV,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.008818475828433396,0.01620567375886525,0.4558402224030158
Chronos2-COV,F_BLOCK,healthy,0.7098226950354609,0.3636081043033735,0.6092021276595744,0.4031404556968984
Chronos2-COV,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.07762857984355157,0.10400709219858156,0.25362224630475483
Chronos2-COV,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.0740926312470267,0.1023936170212766,0.27639404288618086
Chronos2-COV,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.0995140792313197,0.13134751773049644,0.24236041189977975
Chronos2-COV,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.004031621556669632,0.005602836879432625,0.2804321019108632
Chronos2-COV,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.11700584341976661,0.20960992907801418,0.44179245737820705
Chronos2-COV,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.5836043287845368,0.9025886524822695,0.3534105185351849
Chronos2-COV,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.37199725410730017,0.5237433155080213,0.2897336479674787
Chronos2-COV,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.17616794210799197,0.2426595744680851,0.2740119878057323
Chronos2-COV,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.14686485385535455,0.18388297872340426,0.2013134936416935
Chronos2-COV,G_BLOCK,healthy,1.0315248226950353,0.34633434815821074,0.5320390070921985,0.3490433153556475
Chronos2-COV,I&H_BLOCK,degraded,0.314113475177305,0.3148487008389429,0.5689007092198581,0.44656651725623697
Chronos2-COV,INFORMATION_CENTRE,dead,0.01730496453900709,0.017626098628347436,0.03664893617021276,0.5190556542627984
Chronos2-COV,IT_BLOCK,degraded,0.09443262411347518,0.06403854311173056,0.09551418439716311,0.3295389211988855
Chronos2-COV,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.02655879474145935,0.0376241134751773,0.29410177972747054
Chronos2-COV,MM_BLOCK,healthy,1.1443617021276595,0.23820447440265766,0.32232269503546096,0.26097517155454686
Chronos2-COV,MRD_BLOCK,healthy,1.388758865248227,0.7322573784606676,1.0859397163120568,0.32569242338103654
Chronos2-COV,NBX,healthy,0.8031729055258466,0.3503840623118661,0.4968805704099822,0.2948324342351323
Chronos2-COV,NEW_BLOCK,healthy,0.1748936170212766,0.035575288402061936,0.05079787234042553,0.2996697152264247
Chronos2-COV,NEW_BLOCK_RO,dead,0.0003900709219858156,0.00046349422393345235,0.0006205673758865249,0.25311216486152255
Chronos2-COV,TECH_PARK,healthy,0.40037234042553194,0.17560143415069748,0.3348581560283688,0.475594573435384
Chronos2-ZS,BE_BLOCK_OHT,healthy,1.9401241134751774,0.7158426820851387,1.0221631205673758,0.29967862498522424
Chronos2-ZS,BE_BLOCK_RO,dead,0.01148936170212766,0.007343089366199595,0.011631205673758867,0.3686734142474739
Chronos2-ZS,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.00876041615864011,0.01620567375886525,0.45942289786947244
Chronos2-ZS,F_BLOCK,healthy,0.7098226950354609,0.36848560937541597,0.6092021276595744,0.39513407349534435
