model_a,model_b,horizon,a_wins,cells,a_win_pct
Chronos2-ZS,Chronos2-COV-XL,all,55,144,38.19444444444444
Chronos2-ZS,Chronos2-COV,all,62,144,43.05555555555556
Chronos2-ZS,Chronos2-COV-LEAN,all,66,144,45.833333333333336
Chronos2-ZS,NPTS,all,101,144,70.13888888888889
Chronos2-ZS,PatchTST-Tuned,all,120,144,83.33333333333333
Chronos2-ZS,PatchTST,all,128,144,88.88888888888889
Chronos2-ZS,ETS,all,144,144,100.0
Chronos2-ZS,Theta,all,144,144,100.0
Chronos2-ZS,DynamicOptimizedTheta,all,144,144,100.0
Chronos2-ZS,SeasonalNaive,all,144,144,100.0
Chronos2-COV-XL,Chronos2-ZS,all,89,144,61.80555555555556
Chronos2-COV-XL,Chronos2-COV,all,78,144,54.166666666666664
Chronos2-COV-XL,Chronos2-COV-LEAN,all,86,144,59.72222222222222
Chronos2-COV-XL,NPTS,all,101,144,70.13888888888889
Chronos2-COV-XL,PatchTST-Tuned,all,123,144,85.41666666666667
Chronos2-COV-XL,PatchTST,all,128,144,88.88888888888889
Chronos2-COV-XL,ETS,all,144,144,100.0
Chronos2-COV-XL,Theta,all,144,144,100.0
Chronos2-COV-XL,DynamicOptimizedTheta,all,144,144,100.0
Chronos2-COV-XL,SeasonalNaive,all,144,144,100.0
Chronos2-COV,Chronos2-ZS,all,82,144,56.94444444444444
Chronos2-COV,Chronos2-COV-XL,all,66,144,45.833333333333336
Chronos2-COV,Chronos2-COV-LEAN,all,87,144,60.416666666666664
Chronos2-COV,NPTS,all,98,144,68.05555555555556
Chronos2-COV,PatchTST-Tuned,all,122,144,84.72222222222223
Chronos2-COV,PatchTST,all,127,144,88.19444444444444
Chronos2-COV,ETS,all,144,144,100.0
Chronos2-COV,Theta,all,144,144,100.0
Chronos2-COV,DynamicOptimizedTheta,all,144,144,100.0
Chronos2-COV,SeasonalNaive,all,144,144,100.0
Chronos2-COV-LEAN,Chronos2-ZS,all,78,144,54.166666666666664
Chronos2-COV-LEAN,Chronos2-COV-XL,all,58,144,40.27777777777778
Chronos2-COV-LEAN,Chronos2-COV,all,57,144,39.583333333333336
Chronos2-COV-LEAN,NPTS,all,102,144,70.83333333333333
Chronos2-COV-LEAN,PatchTST-Tuned,all,122,144,84.72222222222223
