model_a,model_b,horizon,a_wins,cells,a_win_pct
Chronos2-ZS,Chronos2-COV-XL,24,10,24,41.666666666666664
Chronos2-ZS,Chronos2-COV,24,10,24,41.666666666666664
Chronos2-ZS,Chronos2-COV-LEAN,24,12,24,50.0
Chronos2-ZS,NPTS,24,17,24,70.83333333333333
Chronos2-ZS,PatchTST-Tuned,24,21,24,87.5
Chronos2-ZS,PatchTST,24,23,24,95.83333333333333
Chronos2-ZS,ETS,24,24,24,100.0
Chronos2-ZS,Theta,24,24,24,100.0
Chronos2-ZS,DynamicOptimizedTheta,24,24,24,100.0
Chronos2-ZS,SeasonalNaive,24,24,24,100.0
Chronos2-COV-XL,Chronos2-ZS,24,14,24,58.333333333333336
Chronos2-COV-XL,Chronos2-COV,24,14,24,58.333333333333336
Chronos2-COV-XL,Chronos2-COV-LEAN,24,13,24,54.166666666666664
Chronos2-COV-XL,NPTS,24,17,24,70.83333333333333
Chronos2-COV-XL,PatchTST-Tuned,24,21,24,87.5
Chronos2-COV-XL,PatchTST,24,23,24,95.83333333333333
Chronos2-COV-XL,ETS,24,24,24,100.0
Chronos2-COV-XL,Theta,24,24,24,100.0
Chronos2-COV-XL,DynamicOptimizedTheta,24,24,24,100.0
Chronos2-COV-XL,SeasonalNaive,24,24,24,100.0
Chronos2-COV,Chronos2-ZS,24,14,24,58.333333333333336
Chronos2-COV,Chronos2-COV-XL,24,10,24,41.666666666666664
Chronos2-COV,Chronos2-COV-LEAN,24,13,24,54.166666666666664
Chronos2-COV,NPTS,24,16,24,66.66666666666667
Chronos2-COV,PatchTST-Tuned,24,21,24,87.5
Chronos2-COV,PatchTST,24,23,24,95.83333333333333
Chronos2-COV,ETS,24,24,24,100.0
Chronos2-COV,Theta,24,24,24,100.0
Chronos2-COV,DynamicOptimizedTheta,24,24,24,100.0
Chronos2-COV,SeasonalNaive,24,24,24,100.0
Chronos2-COV-LEAN,Chronos2-ZS,24,12,24,50.0
Chronos2-COV-LEAN,Chronos2-COV-XL,24,11,24,45.833333333333336
Chronos2-COV-LEAN,Chronos2-COV,24,11,24,45.833333333333336
Chronos2-COV-LEAN,NPTS,24,18,24,75.0
Chronos2-COV-LEAN,PatchTST-Tuned,24,21,24,87.5
Chronos2-COV-LEAN,PatchTST,24,22,24,91.66666666666667
Chronos2-COV-LEAN,ETS,24,24,24,100.0
Chronos2-COV-LEAN,Theta,24,24,24,100.0
Chronos2-COV-LEAN,DynamicOptimizedTheta,24,24,24,100.0
Chronos2-COV-LEAN,SeasonalNaive,24,24,24,100.0
NPTS,Chronos2-ZS,24,7,24,29.166666666666668
NPTS,Chronos2-COV-XL,24,7,24,29.166666666666668
NPTS,Chronos2-COV,24,8,24,33.333333333333336
NPTS,Chronos2-COV-LEAN,24,6,24,25.0
NPTS,PatchTST-Tuned,24,21,24,87.5
NPTS,PatchTST,24,23,24,95.83333333333333
NPTS,ETS,24,22,24,91.66666666666667
NPTS,Theta,24,22,24,91.66666666666667
NPTS,DynamicOptimizedTheta,24,23,24,95.83333333333333
NPTS,SeasonalNaive,24,24,24,100.0
PatchTST-Tuned,Chronos2-ZS,24,3,24,12.5
PatchTST-Tuned,Chronos2-COV-XL,24,3,24,12.5
PatchTST-Tuned,Chronos2-COV,24,3,24,12.5
PatchTST-Tuned,Chronos2-COV-LEAN,24,3,24,12.5
PatchTST-Tuned,NPTS,24,3,24,12.5
PatchTST-Tuned,PatchTST,24,20,24,83.33333333333333
PatchTST-Tuned,ETS,24,14,24,58.333333333333336
PatchTST-Tuned,Theta,24,18,24,75.0
PatchTST-Tuned,DynamicOptimizedTheta,24,18,24,75.0
PatchTST-Tuned,SeasonalNaive,24,21,24,87.5
PatchTST,Chronos2-ZS,24,1,24,4.166666666666667
PatchTST,Chronos2-COV-XL,24,1,24,4.166666666666667
PatchTST,Chronos2-COV,24,1,24,4.166666666666667
PatchTST,Chronos2-COV-LEAN,24,2,24,8.333333333333334
PatchTST,NPTS,24,1,24,4.166666666666667
PatchTST,PatchTST-Tuned,24,4,24,16.666666666666668
PatchTST,ETS,24,12,24,50.0
PatchTST,Theta,24,13,24,54.166666666666664
PatchTST,DynamicOptimizedTheta,24,14,24,58.333333333333336
PatchTST,SeasonalNaive,24,20,24,83.33333333333333
ETS,Chronos2-ZS,24,0,24,0.0
ETS,Chronos2-COV-XL,24,0,24,0.0
ETS,Chronos2-COV,24,0,24,0.0
ETS,Chronos2-COV-LEAN,24,0,24,0.0
ETS,NPTS,24,2,24,8.333333333333334
ETS,PatchTST-Tuned,24,10,24,41.666666666666664
ETS,PatchTST,24,12,24,50.0
ETS,Theta,24,16,24,66.66666666666667
ETS,DynamicOptimizedTheta,24,17,24,70.83333333333333
ETS,SeasonalNaive,24,19,24,79.16666666666667
Theta,Chronos2-ZS,24,0,24,0.0
Theta,Chronos2-COV-XL,24,0,24,0.0
Theta,Chronos2-COV,24,0,24,0.0
Theta,Chronos2-COV-LEAN,24,0,24,0.0
Theta,NPTS,24,2,24,8.333333333333334
Theta,PatchTST-Tuned,24,6,24,25.0
Theta,PatchTST,24,11,24,45.833333333333336
Theta,ETS,24,8,24,33.333333333333336
Theta,DynamicOptimizedTheta,24,9,24,37.5
Theta,SeasonalNaive,24,19,24,79.16666666666667
DynamicOptimizedTheta,Chronos2-ZS,24,0,24,0.0
DynamicOptimizedTheta,Chronos2-COV-XL,24,0,24,0.0
DynamicOptimizedTheta,Chronos2-COV,24,0,24,0.0
DynamicOptimizedTheta,Chronos2-COV-LEAN,24,0,24,0.0
DynamicOptimizedTheta,NPTS,24,1,24,4.166666666666667
DynamicOptimizedTheta,PatchTST-Tuned,24,6,24,25.0
DynamicOptimizedTheta,PatchTST,24,10,24,41.666666666666664
DynamicOptimizedTheta,ETS,24,7,24,29.166666666666668
DynamicOptimizedTheta,Theta,24,15,24,62.5
DynamicOptimizedTheta,SeasonalNaive,24,19,24,79.16666666666667
SeasonalNaive,Chronos2-ZS,24,0,24,0.0
SeasonalNaive,Chronos2-COV-XL,24,0,24,0.0
SeasonalNaive,Chronos2-COV,24,0,24,0.0
SeasonalNaive,Chronos2-COV-LEAN,24,0,24,0.0
SeasonalNaive,NPTS,24,0,24,0.0
SeasonalNaive,PatchTST-Tuned,24,3,24,12.5
SeasonalNaive,PatchTST,24,4,24,16.666666666666668
SeasonalNaive,ETS,24,5,24,20.833333333333332
SeasonalNaive,Theta,24,5,24,20.833333333333332
SeasonalNaive,DynamicOptimizedTheta,24,5,24,20.833333333333332
