model,horizon,n,zero_fraction,miss_below_p10,miss_above_p90,coverage,p10_above_zero_pct,p10_below_zero_pct,below_misses_that_are_zero,coverage_if_p10_clamped
Chronos2-COV,24,13530,0.23651145602365115,0.14789356984478935,0.10303030303030303,0.7490761271249076,77.2209903917221,0.0,0.6711644177911045,0.896969696969697
Chronos2-COV-LEAN,24,13530,0.23651145602365115,0.17767923133776792,0.10443458980044346,0.7178861788617885,81.03473762010347,0.0,0.709234608985025,0.8955654101995565
Chronos2-COV-XL,24,13530,0.23651145602365115,0.14079822616407983,0.10199556541019955,0.7572062084257205,76.9179600886918,0.0,0.6398950131233596,0.8980044345898004
Chronos2-ZS,24,13530,0.23651145602365115,0.1662971175166297,0.11160384331116038,0.72209903917221,79.30524759793053,0.0,0.6666666666666666,0.8883961566888396
DynamicOptimizedTheta,24,13530,0.23651145602365115,0.02638580931263858,0.03325942350332594,0.9403547671840355,17.671840354767184,82.32815964523282,0.4677871148459384,0.9667405764966741
ETS,24,13530,0.23651145602365115,0.04065040650406504,0.04700665188470066,0.9123429416112343,28.359201773835917,71.64079822616408,0.3927272727272727,0.9529933481152993
NPTS,24,13530,0.23651145602365115,0.0532889874353289,0.10443458980044346,0.8422764227642277,50.83518107908351,0.0,0.37031900138696255,0.8955654101995565
PatchTST,24,13530,0.23651145602365115,0.04419807834441981,0.14759793052475978,0.8082039911308204,37.62749445676275,62.37250554323725,0.3762541806020067,0.8524020694752402
PatchTST-Tuned,24,13530,0.23651145602365115,0.037694013303769404,0.12682926829268293,0.8354767184035476,34.0650406504065,65.9349593495935,0.43137254901960786,0.8731707317073171
SeasonalNaive,24,13530,0.23651145602365115,0.05114560236511456,0.048632668144863264,0.9002217294900222,20.339985218034,79.660014781966,0.2991329479768786,0.9513673318551368
Theta,24,13530,0.23651145602365115,0.02690317812269032,0.033555062823355505,0.9395417590539542,18.159645232815965,81.84035476718404,0.4835164835164835,0.9664449371766445
